source_province,value
??,1388076.0
Aunis,15712508.652549744
Bourgogne,8511621.015687943
Bretagne,51916421.979429245
Champagne,3359607.793281555
Dauphiné,15873853.45880127
Dunkerque,1411503.0
Flandre,16125362.0
Franche-Comté,21703107.016410828
Guyenne,130412955.2392807
Languedoc,13606275.124031067
Le Havre,10376587.0
Navarre-Béarn,21868014.705467224
Normandie,32009449.74687195
Picardie,3664663.1906585693
Provence,121114569.77696991
Île-de-France,23897.0
