id,size,flows,value,source,target
e74,4,4,34933,$d$Amiens,$c$Hollande
e75,6,6,2481.5,$d$Caen,$c$Nord
e76,8,8,123337.8984375,$d$Charleville,$c$Nord
e77,193,193,3963610.5291519165,$d$Grenoble,$c$Suisse
e78,1,1,1400,$d$Bordeaux,$c$Suisse
e79,692,692,5069804.484718323,$d$Besançon,$c$Suisse
e80,3,3,71503.25,$d$La Rochelle,$c$Allemagne
e81,7,7,43545,$d$Lorient,$c$Allemagne
e82,407,407,4957237.204437256,$d$Châlons,$c$Allemagne
e83,1174,1174,113398495,$d$Bordeaux,$c$Amériques
e84,896,896,46283041,$d$Marseille,$c$Amériques
e85,18,18,8670155,$d$Flandre,$c$Amériques
e86,37,37,40580885,$d$Rouen,$c$Amériques
e87,39,39,1560898,$d$Saint-Malo,$c$Amériques
e88,578,578,49497927,$d$Nantes,$c$Amériques
e89,5,5,260222,$d$Lorient,$c$Amériques
e90,72,72,7537191,$d$La Rochelle,$c$Amériques
e91,113,113,1390772,$d$Bayonne,$c$Amériques
e92,7,7,2287,$d$Toulon,$c$Amériques
e93,9,9,194596,$d$Amiens,$c$Amériques
e94,4,4,12653,$d$Caen,$c$Amériques
e95,9,9,17660,$d$France,$c$Hollande
e96,20,20,111820.93315124512,$d$Toulon,$c$Levant et Barbarie
e97,32,32,169397,$d$France,$c$Angleterre
e98,15,15,19035,$d$France,$c$Portugal
e99,62,62,1079247.5498046875,$d$Nantes,$c$États-Unis d'Amérique
e100,19,19,49416.40234375,$d$Saint-Malo,$c$États-Unis d'Amérique
e101,5,5,40002,$d$Bayonne,$c$États-Unis d'Amérique
e102,952,952,29999067.503982544,$d$Grenoble,$c$Italie
e103,532,532,4733526.432891846,$d$Toulon,$c$Italie
e104,44,44,105143,$d$France,$c$Italie
e105,6,6,37738,$d$Châlons,$c$Italie
e106,352,352,11698404,$d$Rouen,$c$Hollande
e107,425,425,12881447,$d$Flandre,$c$Hollande
e108,72,72,709473,$d$Valenciennes,$c$Hollande
e109,457,457,19527529,$d$Rouen,$c$Angleterre
e110,400,400,22052122,$d$Flandre,$c$Angleterre
e111,1,1,150,$d$Valenciennes,$c$Angleterre
e112,5,5,6161,$d$Bordeaux,$c$Italie
e113,11,11,37151.47480773926,$d$Narbonne,$c$Italie
e114,10,10,490889.193939209,$d$Nantes,$c$Italie
e115,1,1,360,$d$Marseille,$c$????
e116,345,345,52741732.1890564,$d$Marseille,$c$Levant et Barbarie
e117,219,219,2215748.052230835,$d$Charleville,$c$Flandre et autres états de l'Empereur
e118,37,37,1240118.9012451172,$d$Montpellier,$c$Flandre et autres états de l'Empereur
e119,70,70,623470.6785888672,$d$Châlons,$c$Flandre et autres états de l'Empereur
e120,14,14,17014,$d$Grenoble,$c$Flandre et autres états de l'Empereur
e121,18,18,242195,$d$Bayonne,$c$Flandre et autres états de l'Empereur
e122,2,2,18617.397216796875,$d$Toulon,$c$Flandre et autres états de l'Empereur
e123,746,746,37410945.50758362,$d$Marseille,$c$France
e124,133,133,2021707.8905181885,$d$Saint-Malo,$c$France
e125,488,488,4855267.841026306,$d$La Rochelle,$c$France
e126,142,142,1544670.029083252,$d$Bordeaux,$c$France
e127,702,702,17941456.607177734,$d$Montpellier,$c$France
e128,421,421,5718259.235799789,$d$Nantes,$c$France
e129,12,12,25154.7998046875,$d$Caen,$c$France
e130,230,230,3069532.4291381836,$d$Bayonne,$c$France
e131,18,18,48652.5,$d$Amiens,$c$France
e132,1,1,2616,$d$Amiens,$c$Flandre et autres états de l'Empereur
e133,4,4,718807,$d$Bayonne,$c$Allemagne
e134,9,9,541414,$d$Lorient,$c$Flandre et autres états de l'Empereur
e135,3,3,9300,$d$France,$c$Nord
e136,5,5,24054.00001525879,$d$Langres,$c$Nord
e137,2,2,2628,$d$Valenciennes,$c$Divers
e138,130,130,771887.942276001,$d$Langres,$c$Allemagne
e139,242,242,5520426.774810791,$d$Besançon,$c$France
e140,13,13,70669.20010375977,$d$Besançon,$c$Italie
e141,445,445,2104555.050813675,$d$Châlons,$c$France
e142,14,14,956903.8249969482,$d$Langres,$c$France
e143,369,369,2275472.819541931,$d$Charleville,$c$France
e144,1,1,1275,$d$Besançon,$c$Flandre et autres états de l'Empereur
e145,39,39,1106624.8313903809,$d$Marseille,$c$Flandre et autres états de l'Empereur
e146,69,69,1946568.2286071777,$d$Bordeaux,$c$Flandre et autres états de l'Empereur
e147,55,55,1197882.6950073242,$d$Marseille,$c$États-Unis d'Amérique
e148,110,110,5412262.988189697,$d$Bordeaux,$c$États-Unis d'Amérique
e149,19,19,320687,$d$Rouen,$c$Allemagne
e150,16,16,90220,$d$Flandre,$c$Allemagne
e151,303,303,1276981,$d$Valenciennes,$c$Allemagne
e152,1,1,440,$d$Bordeaux,$c$Levant et Barbarie
e153,72,72,3283793,$d$Rouen,$c$États-Unis d'Amérique
e154,26,26,1479188,$d$Flandre,$c$États-Unis d'Amérique
e155,16,16,20458,$d$Valenciennes,$c$États-Unis d'Amérique
e156,597,597,14125789,$d$Rouen,$c$Nord
e157,129,129,4576251,$d$Flandre,$c$Nord
e158,265,265,14212576,$d$Rouen,$c$Espagne
e159,56,56,2270615,$d$Flandre,$c$Espagne
e160,222,222,5869531,$d$Rouen,$c$Portugal
e161,9,9,57218,$d$Flandre,$c$Portugal
e162,5,5,4803,$d$Valenciennes,$c$Nord
e163,34,34,652132,$d$Rouen,$c$Flandre et autres états de l'Empereur
e164,1358,1358,22796270,$d$Flandre,$c$Flandre et autres états de l'Empereur
e165,547,547,8336496,$d$Valenciennes,$c$Flandre et autres états de l'Empereur
e166,243,243,7854195,$d$Rouen,$c$France
e167,557,557,4398723.25,$d$Flandre,$c$France
e168,1,1,1250,$d$Valenciennes,$c$France
e169,106,106,412029.5581359863,$d$Charleville,$c$Divers
e170,58,58,1259998,$d$Flandre,$c$Italie
e171,28,28,2945698,$d$Rouen,$c$Italie
e172,65,65,258116.35000610352,$d$Lyon,$c$Italie
e173,6,6,126810,$d$Lyon,$c$France
e174,12,12,101461.06616210938,$d$La Rochelle,$c$États-Unis d'Amérique
e175,12,12,414060.9443283081,$d$La Rochelle,$c$Flandre et autres états de l'Empereur
e176,2,2,1900,$d$Langres,$c$Flandre et autres états de l'Empereur
e177,1,1,57901.6015625,$d$Saint-Malo,$c$????
e178,10,10,84364,$d$France,$c$Suisse
e179,16,16,28276,$d$France,$c$Espagne
e180,6,6,10090,$d$France,$c$Levant et Barbarie
e181,1,1,576,$d$France,$c$Flandre et autres états de l'Empereur
e182,31,31,52540,$d$France,$c$Allemagne
e183,4,4,46891.50001525879,$d$Montpellier,$c$Levant et Barbarie
e184,13,13,11615,$d$Saint-Quentin,$c$Flandre et autres états de l'Empereur
e185,16,16,59106,$d$Soisson,$c$Flandre et autres états de l'Empereur
e186,71,71,2273647.8862457275,$d$Nantes,$c$Flandre et autres états de l'Empereur
e187,123,123,576119.2657165527,$d$Narbonne,$c$France
e188,2,2,586,$d$Rouen,$c$Suisse
e189,4,4,4287,$d$Flandre,$c$Suisse
e190,12,12,147359.6739501953,$d$Montpellier,$c$États-Unis d'Amérique
e191,3,3,8425.25,$d$Amiens,$c$États-Unis d'Amérique
e192,98,98,293898,$d$France,$c$Amériques
e193,285,285,1365341,$d$Dunkerque,$c$Amériques
e194,541,541,6294558,$d$Le Havre,$c$Amériques
e195,59,59,419308,$d$Marseille,$c$Afrique
e196,5,5,2517631,$d$Rouen,$c$Afrique
e197,280,280,5172238,$d$Bordeaux,$c$Afrique
e198,241,241,8110181,$d$Nantes,$c$Afrique
e199,1,1,2370,$d$Lorient,$c$Afrique
e200,120,120,696862,$d$France,$c$Afrique
e201,78,78,792091,$d$Saint-Malo,$c$Afrique
e202,3,3,46162,$d$Dunkerque,$c$Afrique
e203,230,230,4043029,$d$Le Havre,$c$Afrique
e204,3,3,607756,$d$Directions de terre,$c$Monde
e205,9,9,24912626,$d$Marseille,$c$Monde
e206,7,7,4560525,$d$Flandre,$c$Monde
e207,18,18,23589876,$d$Rouen,$c$Monde
e208,4,4,439241,$d$Saint-Malo,$c$Monde
e209,8,8,26188654,$d$Nantes,$c$Monde
e210,1,1,1872,$d$Lorient,$c$Monde
e211,8,8,5136098,$d$La Rochelle,$c$Monde
e212,9,9,74611017,$d$Bordeaux,$c$Monde
e213,2,2,1630.75,$d$Châlons,$c$Levant et Barbarie
e214,2,2,39505.25,$d$Saint-Malo,$c$Flandre et autres états de l'Empereur
e215,1,1,39000,$d$Le Havre,$c$Flandre et autres états de l'Empereur
e216,1,1,11935,$d$Nantes,$c$????
e217,4,4,8741.81591796875,$d$Narbonne,$c$Suisse
