id,size,flows,value,source,target
e0,68,68,358508.00006103516,$d$Châlons,$c$Nord
e1,1046,1046,56564353.03520203,$d$Marseille,$c$Italie
e2,5,5,50181.600036621094,$d$Charleville,$c$Italie
e3,168,168,2103180.0432891846,$d$Montpellier,$c$Italie
e4,248,248,18034710.352859497,$d$Marseille,$c$Espagne
e5,206,206,2369490.401649475,$d$Auch,$c$Espagne
e6,48,48,3663844.651977539,$d$Saint-Malo,$c$Espagne
e7,19,19,185433.4552001953,$d$La Rochelle,$c$Espagne
e8,174,174,3773346.7719802856,$d$Bordeaux,$c$Espagne
e9,21,21,232921.40002441406,$d$Lorient,$c$Espagne
e10,251,251,1446780.865638733,$d$Narbonne,$c$Espagne
e11,160,160,2408402.378479004,$d$Montpellier,$c$Espagne
e12,97,97,2822569.573371887,$d$Nantes,$c$Espagne
e13,6,6,83780.98657226562,$d$Toulon,$c$Espagne
e14,1,1,300,$d$Grenoble,$c$Espagne
e15,657,657,13478677.7474823,$d$Bayonne,$c$Espagne
e16,11,11,354053.75,$d$Amiens,$c$Espagne
e17,12,12,304088.0070800781,$d$Marseille,$c$Portugal
e18,16,16,275272.30322265625,$d$Saint-Malo,$c$Portugal
e19,3,3,4120,$d$Bordeaux,$c$Portugal
e20,49,49,1068827.6496582031,$d$Nantes,$c$Portugal
e21,1,1,6960,$d$Toulon,$c$Portugal
e22,1,1,327.6000061035156,$d$Montpellier,$c$Portugal
e23,2,2,41340.533203125,$d$La Rochelle,$c$Portugal
e24,23,23,192092.42749023438,$d$Bayonne,$c$Portugal
e25,6,6,162730,$d$Amiens,$c$Portugal
e26,228,228,1289404.5948238373,$d$Lorient,$c$France
e27,512,512,5333369.57723999,$d$Toulon,$c$France
e28,7,7,4761,$d$Soisson,$c$Allemagne
e29,1,1,2052,$d$Marseille,$c$Allemagne
e30,325,325,5796232.411705017,$d$Charleville,$c$Allemagne
e31,1,1,850,$d$Bordeaux,$c$Allemagne
e32,219,219,11040931.556777954,$d$Besançon,$c$Allemagne
e33,7,7,89683.158203125,$d$Toulon,$c$Nord
e34,190,190,4461602.873832703,$d$Marseille,$c$Nord
e35,53,53,1076304.4731445312,$d$Saint-Malo,$c$Nord
e36,424,424,19168407.971168518,$d$Bordeaux,$c$Nord
e37,131,131,2408153.0124435425,$d$Montpellier,$c$Nord
e38,185,185,3281898.7316436768,$d$Nantes,$c$Nord
e39,81,81,2697394.100036621,$d$Lorient,$c$Nord
e40,103,103,2232605.480255127,$d$La Rochelle,$c$Nord
e41,23,23,1005249,$d$Bayonne,$c$Nord
e42,7,7,3725.5999755859375,$d$Amiens,$c$Nord
e43,36,36,1131094.296875,$d$Lorient,$c$États-Unis d'Amérique
e44,151,151,1638596,$d$La Rochelle,$c$Afrique
e45,8,8,57519.000007629395,$d$Charleville,$c$Suisse
e46,98,98,4171291.4501419067,$d$Lyon,$c$Suisse
e47,1,1,500,$d$Montpellier,$c$Suisse
e48,59,59,428481.3317871094,$d$Châlons,$c$Suisse
e49,123,123,2187052.8050689697,$d$Marseille,$c$Angleterre
e50,217,217,1214963.5538406372,$d$Saint-Malo,$c$Angleterre
e51,84,84,5687522.529754639,$d$La Rochelle,$c$Angleterre
e52,241,241,14658739.905822754,$d$Bordeaux,$c$Angleterre
e53,3,3,208815.19995117188,$d$Charleville,$c$Angleterre
e54,101,101,1374478.2291564941,$d$Lorient,$c$Angleterre
e55,25,25,626636.3676147461,$d$Montpellier,$c$Angleterre
e56,121,121,2358841.996368408,$d$Nantes,$c$Angleterre
e57,102,102,498611.44706726074,$d$Caen,$c$Angleterre
e58,6,6,15256,$d$Bayonne,$c$Angleterre
e59,118,118,3044310.0906829834,$d$Amiens,$c$Angleterre
e60,4,4,132944.10914611816,$d$Toulon,$c$Angleterre
e61,1,1,4200,$d$Narbonne,$c$Angleterre
e62,108,108,2942041.425590515,$d$Marseille,$c$Hollande
e63,68,68,808731.8898010254,$d$Saint-Malo,$c$Hollande
e64,1,1,8800,$d$Langres,$c$Hollande
e65,108,108,849578.0992393494,$d$La Rochelle,$c$Hollande
e66,192,192,10302194.234558105,$d$Bordeaux,$c$Hollande
e67,30,30,115431.6999206543,$d$Charleville,$c$Hollande
e68,52,52,550951.0356445312,$d$Lorient,$c$Hollande
e69,57,57,1237091.9675445557,$d$Montpellier,$c$Hollande
e70,123,123,1883147.2020339966,$d$Nantes,$c$Hollande
e71,6,6,341087.14892578125,$d$Toulon,$c$Hollande
e72,1,1,20,$d$Caen,$c$Hollande
e73,25,25,460679.7998046875,$d$Bayonne,$c$Hollande
