origin,origin_norm_ortho,nbr_occurence,province,state_1789_fr,substate_1789_fr,doutes,partner_balance_1789,partner_balance_supp_1789
,,542517,PRIORITAIRE,,,,,
?,?,3,,,,,,
(De renvoi),de renvoi,1,,,,,,
3 Evêchés,Trois-Évêchés,3,Lorraine,,,en simplifiant..,,
Acheté à Lisbonne en faisant route pour la côte d'or,Acheté à Lisbonne en faisant route pour la côte d'or,1,,Portugal,,,,
Aédon,Aédon,3,,,,???,,
Agen,Agen,3,Guyenne,France,,,,France
Agenois,Agenois,6,Guyenne,France,,,,France
Agénois,Agenois,1,Guyenne,France,,,,France
Aix,Aix,1,Provence,France,,,,France
Alençon,Alençon,7,Normandie,France,,,,France
Alep,Alep,2,,Empire ottoman,,,,Etranger
Aligre,Aligre,2,Aunis,France,,,,
Allemagne,Allemagne,15,,Multi-State,,,,
Alsace,Alsace,28,Alsace,France,,,,France
amienois,Amiénois,1,Picardie,France,,,,France
Amienois,Amiénois,103,Picardie,France,,,,France
Amiénois,Amiénois,307,Picardie,France,,,,France
Amiens,Amiens,190,Picardie,France,,,,France
Anger,Angers,2,Anjou,France,,,,France
Angers,Angers,19,Anjou,France,,,,France
Angers et Saumur,Angers et Saumur,3,Mixte (Anjou et Saumurois),France,,,,France
Angoulême,Angoulême,58,Angoumois,France,,,,France
Angoumoins,Angoumois,1,Angoumois,France,,,,France
Angoumois,Angoumois,115,Angoumois,France,,,,France
anjou,Anjou,8,Anjou,France,,,,France
Anjou,Anjou,202,Anjou,France,,,,France
Anjou et Comte nantais,Anjou et Comté de Nantes,3,Mixte (Anjou et Bretagne),France,,,,France
Anjou et Orleanais,Anjou et Orléanais,5,Mixte (Anjour et Orléanais),France,,,,France
Annonay,Annonay,1,Languedoc,France,,,,France
Arbois Franche comté,Arbois Franche comté,1,Franche-Comté,France,,doute: Artois ?,,France
Amérique,Amérique,4,,Multi-State,,colonies espagnoles d'Amérique;colonies britanniques d'Amérique;colonies françaises d'Amérique,,
Colonies Espagnoles,Colonies Espagnoles,5,,Espagne,colonies espagnoles d'Amérique,,Espagne,Etranger
Armagnac,Armagnac,3,Guyenne,France,,,,France
Artois,Artois,57,Artois,France,,,,France
Aubenas,Aubenas,1,,France,,Provence ou Languedoc ??,,France
Aubenton,Aubenton,1,,France,,Champagne ou Picardie ?,,France
Aulnay,Aulnay,11,,France,,lequel ? il y en a plusieurs,,France
Aunis,Aunis,144,Aunis,France,,,,France
Auvergne,Auvergne,63,Auvergne,France,,,,France
Aux Voyageurs,Aux Voyageurs,1,,,,???,,
Auxonne,Auxonne,1,Dauphiné,France,,,,
Avignon,Avignon,1,,Etats pontificaux,,Attention! PAS France,,
Baccarat,Baccarat,4,,Empire ottoman,,"??? en France, non ????",,Etranger
Barbarie,Barbarie,11,,Empire ottoman,,,,Etranger
Barrege,Barrege,1,Guyenne,France,,,,France
Barsac,Barsac,9,Guyenne,France,,,,France
Bas Bretagne,Basse Bretagne,1,Bretagne,France,,,,France
Bas Poitou,Bas Poitou,2,Poitou,France,,,,France
Baujolais,Baujolais,1,Lyonnais,France,,,,France
Colonies françaises de l'Amérique,Colonies françaises de l'Amérique,72,,France,colonies françaises d'Amérique,,,colonies françaises
Bearn,Béarn,203,Navarre-Béarn,France,,,,France
Béarn,Béarn,79,Navarre-Béarn,France,,,,France
Béarn et Languedoc,Béarn et Languedoc,1,MIXTE (Béarn et Languedoc),France,,,,France
Béarn la Guyenne,Béarn la Guyenne,3,MIXTE (Béarn et Guyenne),France,,,,France
Beauce,Beauce,4,Beauce,France,,,,France
Beaufort,Beaufort,1,,France,,,,France
