port,nb_pointcalls_out,mean_tonnage,cumulated_tonnage
Sables d' Olonne,194,40.61340206185567,7879
Le Chateau [d' Oléron],55,11.472727272727273,631
Saint Michel en l' Herm,69,8.26086956521739,570
Noirmoutier,290,43.58275862068965,12639
Saint Denis [d' Oléron],68,20.36764705882353,1385
La Rochelle,1067,45.80599812558575,48875
Beauvoir-sur-Mer,122,34.21311475409836,4174
La Tranche sur Mer,24,13.083333333333334,314
Ars en Ré,307,66.30944625407166,20357
Esnandes,2,17.5,35
La Tremblade,1,8.0,8
Rochefort,371,68.911051212938,25566
Marennes,1496,60.401737967914436,90361
Ribérou [Saujon],437,15.077803203661327,6589
La Flotte en Ré,8,11.625,93
Mortagne,17,35.0,595
Moricq,97,24.896907216494846,2415
Royan,14,31.285714285714285,438
La Perrotine,77,18.935064935064936,1458
Soubise,7,26.714285714285715,187
Saint Martin de Ré,478,33.99163179916318,16248
Aligre de Marans,640,20.7703125,13293
Champagné-les-Marais,1,27.0,27
Charente,620,45.093548387096774,27958
Saint Gilles sur Vie,78,36.41025641025641,2840
