port,product,count,year,classification
Marennes,Matières brutes non-comestibles non transformées n.d.a.,1337,1789,SITC_fr
Marennes,Divers incertains et inconnus,31,1789,SITC_fr
Marennes,Boissons et tabac,89,1789,SITC_fr
Marennes,Divers mélangés,2,1789,SITC_fr
Marennes,"Produits du bois, liège, jonc",2,1789,SITC_fr
Marennes,Autres produits alimentaires et animaux,20,1789,SITC_fr
Marennes,Articles manufacturés divers n.d.a,3,1789,SITC_fr
Marennes,Combustibles,2,1789,SITC_fr
Marennes,"Articles minéraux non métalliques manufacturés, n.d.a.",9,1789,SITC_fr
Marennes,Êtres humains,1,1789,SITC_fr
Saint-Martin-de-Ré,Matières brutes non-comestibles non transformées n.d.a.,270,1789,SITC_fr
Saint-Martin-de-Ré,Boissons et tabac,57,1789,SITC_fr
Saint-Martin-de-Ré,"Produits du bois, liège, jonc",74,1789,SITC_fr
Saint-Martin-de-Ré,Autres produits alimentaires et animaux,24,1789,SITC_fr
Saint-Martin-de-Ré,Combustibles,5,1789,SITC_fr
Saint-Martin-de-Ré,Sorties pour la pêche et activités diverses,3,1789,SITC_fr
Saint-Martin-de-Ré,"Métaux, produits métalliques et outils",2,1789,SITC_fr
Saint-Martin-de-Ré,Produits chimiques transformés n.d.a.,1,1789,SITC_fr
Saint-Martin-de-Ré,Divers incertains et inconnus,33,1789,SITC_fr
Saint-Martin-de-Ré,"Articles minéraux non métalliques manufacturés, n.d.a.",3,1789,SITC_fr
Saint-Martin-de-Ré,Divers mélangés,1,1789,SITC_fr
Saint-Martin-de-Ré,Articles manufacturés divers n.d.a,1,1789,SITC_fr
Saint-Martin-de-Ré,Produits agricoles alimentaires des régions de colonisation européenne,2,1789,SITC_fr
Ribérou,Produits chimiques transformés n.d.a.,88,1789,SITC_fr
Ribérou,"Produits du bois, liège, jonc",14,1789,SITC_fr
Ribérou,Combustibles,187,1789,SITC_fr
Ribérou,Boissons et tabac,43,1789,SITC_fr
Ribérou,Divers incertains et inconnus,3,1789,SITC_fr
Ribérou,Divers mélangés,1,1789,SITC_fr
Ribérou,Matières brutes non-comestibles non transformées n.d.a.,175,1789,SITC_fr
Ribérou,Autres produits alimentaires et animaux,18,1789,SITC_fr
Ribérou,"Métaux, produits métalliques et outils",1,1789,SITC_fr
Ribérou,Machines et moyens de transport y compris sellerie,1,1789,SITC_fr
Ribérou,Articles manufacturés divers n.d.a,1,1789,SITC_fr
Marans,Autres produits alimentaires et animaux,265,1789,SITC_fr
Marans,Divers incertains et inconnus,52,1789,SITC_fr
Marans,Matières brutes non-comestibles non transformées n.d.a.,310,1789,SITC_fr
Marans,"Produits du bois, liège, jonc",46,1789,SITC_fr
Marans,Boissons et tabac,3,1789,SITC_fr
Marans,Combustibles,8,1789,SITC_fr
Marans,"Articles minéraux non métalliques manufacturés, n.d.a.",2,1789,SITC_fr
Rochefort,Divers incertains et inconnus,224,1789,SITC_fr
Rochefort,"Produits du bois, liège, jonc",41,1789,SITC_fr
Rochefort,Divers mélangés,27,1789,SITC_fr
Rochefort,Boissons et tabac,32,1789,SITC_fr
Rochefort,Autres produits alimentaires et animaux,30,1789,SITC_fr
Rochefort,Matières brutes non-comestibles non transformées n.d.a.,22,1789,SITC_fr
Rochefort,"Métaux, produits métalliques et outils",1,1789,SITC_fr
Rochefort,"Articles minéraux non métalliques manufacturés, n.d.a.",4,1789,SITC_fr
Rochefort,Produits agricoles alimentaires des régions de colonisation européenne,5,1789,SITC_fr
Rochefort,Combustibles,6,1789,SITC_fr
Rochefort,Produits chimiques transformés n.d.a.,2,1789,SITC_fr
Rochefort,"Huiles, graisses et cires d'origine animale et végétale",2,1789,SITC_fr
Rochefort,Autres filés ou tissés,1,1789,SITC_fr
Moricq,Autres produits alimentaires et animaux,27,1789,SITC_fr
Moricq,Combustibles,81,1789,SITC_fr
Moricq,"Produits du bois, liège, jonc",26,1789,SITC_fr
Moricq,Boissons et tabac,4,1789,SITC_fr
Moricq,"Articles minéraux non métalliques manufacturés, n.d.a.",2,1789,SITC_fr
Moricq,Matières brutes non-comestibles non transformées n.d.a.,2,1789,SITC_fr
Moricq,Divers incertains et inconnus,3,1789,SITC_fr
Noirmoutier,Matières brutes non-comestibles non transformées n.d.a.,226,1789,SITC_fr
Noirmoutier,Boissons et tabac,9,1789,SITC_fr
Noirmoutier,Autres produits alimentaires et animaux,38,1789,SITC_fr
Noirmoutier,"Produits du bois, liège, jonc",12,1789,SITC_fr
Noirmoutier,Sorties pour la pêche et activités diverses,2,1789,SITC_fr
Noirmoutier,Produits chimiques transformés n.d.a.,14,1789,SITC_fr
Noirmoutier,Divers incertains et inconnus,1,1789,SITC_fr
La Perrotine,Boissons et tabac,54,1789,SITC_fr
La Perrotine,Divers incertains et inconnus,3,1789,SITC_fr
La Perrotine,Matières brutes non-comestibles non transformées n.d.a.,18,1789,SITC_fr
La Perrotine,Autres produits alimentaires et animaux,1,1789,SITC_fr
La Perrotine,Divers mélangés,4,1789,SITC_fr
La Perrotine,Produits chimiques transformés n.d.a.,1,1789,SITC_fr
Les Sables-d'Olonne,Machines et moyens de transport y compris sellerie,4,1789,SITC_fr
Les Sables-d'Olonne,Autres produits alimentaires et animaux,56,1789,SITC_fr
Les Sables-d'Olonne,Matières brutes non-comestibles non transformées n.d.a.,135,1789,SITC_fr
Les Sables-d'Olonne,"Produits du bois, liège, jonc",12,1789,SITC_fr
Les Sables-d'Olonne,Combustibles,24,1789,SITC_fr
Les Sables-d'Olonne,Sorties pour la pêche et activités diverses,36,1789,SITC_fr
Les Sables-d'Olonne,"Métaux, produits métalliques et outils",36,1789,SITC_fr
Les Sables-d'Olonne,Divers incertains et inconnus,5,1789,SITC_fr
Les Sables-d'Olonne,Divers mélangés,14,1789,SITC_fr
Les Sables-d'Olonne,Articles manufacturés divers n.d.a,2,1789,SITC_fr
Les Sables-d'Olonne,"Huiles, graisses et cires d'origine animale et végétale",1,1789,SITC_fr
Les Sables-d'Olonne,"Articles minéraux non métalliques manufacturés, n.d.a.",2,1789,SITC_fr
Les Sables-d'Olonne,Boissons et tabac,2,1789,SITC_fr
