port,product,count,year,classification
La Rochelle,Cargaison inconnue,1003,1789,toflit_simplification
La Rochelle,fèves,1,1789,toflit_simplification
La Rochelle,pêche à la morue,7,1789,toflit_simplification
La Rochelle,à vide,52,1789,toflit_simplification
La Rochelle,fer vieux,1,1789,toflit_simplification
La Rochelle,vin,17,1789,toflit_simplification
La Rochelle,divers,3,1789,toflit_simplification
La Rochelle,restant de futailles,1,1789,toflit_simplification
La Rochelle,à l'aventure,2,1789,toflit_simplification
La Rochelle,beurre,1,1789,toflit_simplification
La Rochelle,eau-de-vie,4,1789,toflit_simplification
La Rochelle,planches,15,1789,toflit_simplification
La Rochelle,pièces de bois,1,1789,toflit_simplification
La Rochelle,marchandises provenant d'un naufrage,1,1789,toflit_simplification
La Rochelle,lest,6,1789,toflit_simplification
La Rochelle,sardines,1,1789,toflit_simplification
La Rochelle,vinaigre,4,1789,toflit_simplification
La Rochelle,futailles vides,1,1789,toflit_simplification
La Rochelle,bois pour construction,3,1789,toflit_simplification
La Rochelle,sel,1,1789,toflit_simplification
La Rochelle,marchandises,2,1789,toflit_simplification
La Rochelle,marchandises de Marseille,1,1789,toflit_simplification
Saint-Michel-en-l'Herm,Cargaison inconnue,65,1789,toflit_simplification
Saint-Michel-en-l'Herm,à vide,3,1789,toflit_simplification
Saint-Michel-en-l'Herm,eau-de-vie,1,1789,toflit_simplification
Saint-Michel-en-l'Herm,planches,1,1789,toflit_simplification
Saint-Michel-en-l'Herm,vinaigre,2,1789,toflit_simplification
Saint-Michel-en-l'Herm,grains blé,1,1789,toflit_simplification
Marans,feuillards,36,1789,toflit_simplification
Marans,grains divers,152,1789,toflit_simplification
Marans,à vide,51,1789,toflit_simplification
Marans,lest,142,1789,toflit_simplification
Marans,grains orge,5,1789,toflit_simplification
Marans,minot,7,1789,toflit_simplification
Marans,son,1,1789,toflit_simplification
Marans,bois,153,1789,toflit_simplification
Marans,charbon,2,1789,toflit_simplification
Marans,farine,40,1789,toflit_simplification
