port,product,count,year,classification
Ars-en-Ré,Cargaison inconnue,12,1789,lest_vide_aggregate
Ars-en-Ré,Divers,1,1789,lest_vide_aggregate
Ars-en-Ré,Industrie française et étrangère,1,1789,lest_vide_aggregate
Ars-en-Ré,Lest,1,1789,lest_vide_aggregate
Ars-en-Ré,Matières premières,1,1789,lest_vide_aggregate
Ars-en-Ré,Subsistances,250,1789,lest_vide_aggregate
Ars-en-Ré,Vide,43,1789,lest_vide_aggregate
Beauvoir-sur-Mer,Cargaison inconnue,4,1789,lest_vide_aggregate
Beauvoir-sur-Mer,Industrie française et étrangère,1,1789,lest_vide_aggregate
Beauvoir-sur-Mer,Lest,3,1789,lest_vide_aggregate
Beauvoir-sur-Mer,Subsistances,117,1789,lest_vide_aggregate
Beauvoir-sur-Mer,Vide,1,1789,lest_vide_aggregate
Brouage ,Cargaison inconnue,4,1789,lest_vide_aggregate
Champagné-les-Marais,Cargaison inconnue,1,1789,lest_vide_aggregate
Esnandes,Cargaison inconnue,2,1789,lest_vide_aggregate
Ker Châlon,Lest,1,1789,lest_vide_aggregate
Ker Châlon,Matières premières,6,1789,lest_vide_aggregate
Ker Châlon,Vide,3,1789,lest_vide_aggregate
La Flotte-en-Ré,Divers,1,1789,lest_vide_aggregate
La Flotte-en-Ré,Industrie française et étrangère,1,1789,lest_vide_aggregate
La Flotte-en-Ré,Matières premières,1,1789,lest_vide_aggregate
La Flotte-en-Ré,Subsistances,6,1789,lest_vide_aggregate
La Perrotine,Cargaison inconnue,1,1789,lest_vide_aggregate
La Perrotine,Divers,4,1789,lest_vide_aggregate
La Perrotine,Industrie française et étrangère,1,1789,lest_vide_aggregate
La Perrotine,Lest,18,1789,lest_vide_aggregate
La Perrotine,Subsistances,57,1789,lest_vide_aggregate
La Perrotine,Vide,1,1789,lest_vide_aggregate
La Rochelle,Cargaison inconnue,1003,1789,lest_vide_aggregate
La Rochelle,Divers,9,1789,lest_vide_aggregate
La Rochelle,Industrie française et étrangère,21,1789,lest_vide_aggregate
La Rochelle,Lest,6,1789,lest_vide_aggregate
La Rochelle,Métaux,1,1789,lest_vide_aggregate
La Rochelle,Pêche,7,1789,lest_vide_aggregate
La Rochelle,Subsistances,29,1789,lest_vide_aggregate
La Rochelle,Vide,52,1789,lest_vide_aggregate
La Tranche-sur-Mer,Divers,2,1789,lest_vide_aggregate
La Tranche-sur-Mer,Subsistances,53,1789,lest_vide_aggregate
La Tremblade,Industrie française et étrangère,1,1789,lest_vide_aggregate
La Tremblade,Vide,1,1789,lest_vide_aggregate
Le Chapus,Subsistances,1,1789,lest_vide_aggregate
Le Chapus,Vide,1,1789,lest_vide_aggregate
Le Château-d'Oléron,Cargaison inconnue,39,1789,lest_vide_aggregate
Le Château-d'Oléron,Industrie française et étrangère,1,1789,lest_vide_aggregate
Le Château-d'Oléron,Subsistances,3,1789,lest_vide_aggregate
Le Château-d'Oléron,Vide,12,1789,lest_vide_aggregate
Les Sables-d'Olonne,Bêtes de somme,32,1789,lest_vide_aggregate
Les Sables-d'Olonne,Cargaison inconnue,2,1789,lest_vide_aggregate
Les Sables-d'Olonne,Divers,19,1789,lest_vide_aggregate
Les Sables-d'Olonne,Industrie française et étrangère,57,1789,lest_vide_aggregate
Les Sables-d'Olonne,Lest,27,1789,lest_vide_aggregate
Les Sables-d'Olonne,Matières premières,27,1789,lest_vide_aggregate
Les Sables-d'Olonne,Pêche,36,1789,lest_vide_aggregate
Les Sables-d'Olonne,Subsistances,132,1789,lest_vide_aggregate
Marans,Cargaison inconnue,1,1789,lest_vide_aggregate
Marans,Industrie française et étrangère,48,1789,lest_vide_aggregate
