port,product,count,year,classification
Ars-en-Ré,Autres produits alimentaires et animaux,1,1789,SITC_fr
Ars-en-Ré,Boissons et tabac,3,1789,SITC_fr
Ars-en-Ré,Cargaison inconnue,12,1789,SITC_fr
Ars-en-Ré,Divers incertains et inconnus,44,1789,SITC_fr
Ars-en-Ré,Matières brutes non-comestibles non transformées n.d.a.,248,1789,SITC_fr
Ars-en-Ré,"Produits du bois, liège, jonc",1,1789,SITC_fr
Beauvoir-sur-Mer,Autres produits alimentaires et animaux,38,1789,SITC_fr
Beauvoir-sur-Mer,Boissons et tabac,1,1789,SITC_fr
Beauvoir-sur-Mer,Cargaison inconnue,4,1789,SITC_fr
Beauvoir-sur-Mer,Divers incertains et inconnus,1,1789,SITC_fr
Beauvoir-sur-Mer,Divers mélangés,1,1789,SITC_fr
Beauvoir-sur-Mer,Matières brutes non-comestibles non transformées n.d.a.,81,1789,SITC_fr
Brouage ,Cargaison inconnue,4,1789,SITC_fr
Champagné-les-Marais,Cargaison inconnue,1,1789,SITC_fr
Esnandes,Cargaison inconnue,2,1789,SITC_fr
Ker Châlon,Divers incertains et inconnus,3,1789,SITC_fr
Ker Châlon,Divers mélangés,1,1789,SITC_fr
Ker Châlon,Matières brutes non-comestibles non transformées n.d.a.,1,1789,SITC_fr
Ker Châlon,Produits chimiques transformés n.d.a.,5,1789,SITC_fr
La Flotte-en-Ré,Autres produits alimentaires et animaux,1,1789,SITC_fr
La Flotte-en-Ré,Boissons et tabac,5,1789,SITC_fr
La Flotte-en-Ré,Divers mélangés,1,1789,SITC_fr
La Flotte-en-Ré,Matières brutes non-comestibles non transformées n.d.a.,1,1789,SITC_fr
La Flotte-en-Ré,"Produits du bois, liège, jonc",1,1789,SITC_fr
La Perrotine,Autres produits alimentaires et animaux,1,1789,SITC_fr
La Perrotine,Boissons et tabac,54,1789,SITC_fr
La Perrotine,Cargaison inconnue,1,1789,SITC_fr
La Perrotine,Divers incertains et inconnus,3,1789,SITC_fr
La Perrotine,Divers mélangés,4,1789,SITC_fr
La Perrotine,Matières brutes non-comestibles non transformées n.d.a.,18,1789,SITC_fr
La Perrotine,Produits chimiques transformés n.d.a.,1,1789,SITC_fr
La Rochelle,Autres produits alimentaires et animaux,7,1789,SITC_fr
La Rochelle,Boissons et tabac,21,1789,SITC_fr
La Rochelle,Cargaison inconnue,1003,1789,SITC_fr
La Rochelle,Divers incertains et inconnus,54,1789,SITC_fr
La Rochelle,Divers mélangés,8,1789,SITC_fr
La Rochelle,Matières brutes non-comestibles non transformées n.d.a.,7,1789,SITC_fr
La Rochelle,"Métaux, produits métalliques et outils",1,1789,SITC_fr
La Rochelle,"Produits du bois, liège, jonc",20,1789,SITC_fr
La Rochelle,Sorties pour la pêche et activités diverses,7,1789,SITC_fr
La Tranche-sur-Mer,Autres produits alimentaires et animaux,53,1789,SITC_fr
La Tranche-sur-Mer,Divers mélangés,2,1789,SITC_fr
La Tremblade,Divers incertains et inconnus,1,1789,SITC_fr
La Tremblade,"Produits du bois, liège, jonc",1,1789,SITC_fr
Le Chapus,Boissons et tabac,1,1789,SITC_fr
Le Chapus,Divers incertains et inconnus,1,1789,SITC_fr
Le Château-d'Oléron,"Articles minéraux non métalliques manufacturés, n.d.a.",1,1789,SITC_fr
Le Château-d'Oléron,Autres produits alimentaires et animaux,2,1789,SITC_fr
Le Château-d'Oléron,Boissons et tabac,1,1789,SITC_fr
Le Château-d'Oléron,Cargaison inconnue,39,1789,SITC_fr
Le Château-d'Oléron,Divers incertains et inconnus,12,1789,SITC_fr
Les Sables-d'Olonne,Articles manufacturés divers n.d.a,2,1789,SITC_fr
Les Sables-d'Olonne,"Articles minéraux non métalliques manufacturés, n.d.a.",2,1789,SITC_fr
Les Sables-d'Olonne,Autres produits alimentaires et animaux,56,1789,SITC_fr
