port,product,count,year,classification
La Rochelle,Cargaison inconnue,1003,1789,toflit_revolution
La Rochelle,Produits inconnus,60,1789,toflit_revolution
La Rochelle,"Ouvrages de bois, liège et jonc",21,1789,toflit_revolution
La Rochelle,Sel,1,1789,toflit_revolution
La Rochelle,Vins divers,17,1789,toflit_revolution
La Rochelle,Eaux-de-vie et liqueurs,4,1789,toflit_revolution
La Rochelle,Divers mélangés,4,1789,toflit_revolution
La Rochelle,Légumes,1,1789,toflit_revolution
La Rochelle,Sortie pour pêche,7,1789,toflit_revolution
La Rochelle,Fer,1,1789,toflit_revolution
La Rochelle,Divers incertains,3,1789,toflit_revolution
La Rochelle,Beurre,1,1789,toflit_revolution
La Rochelle,Pêche et fruits de mer,1,1789,toflit_revolution
La Rochelle,"Bière, cidre et vinaigre",4,1789,toflit_revolution
Marennes,Sel,1301,1789,toflit_revolution
Marennes,Produits inconnus,66,1789,toflit_revolution
Marennes,Cargaison inconnue,19,1789,toflit_revolution
Marennes,Eaux-de-vie et liqueurs,25,1789,toflit_revolution
Marennes,Vins divers,64,1789,toflit_revolution
Marennes,Divers mélangés,2,1789,toflit_revolution
Marennes,"Ouvrages de bois, liège et jonc",3,1789,toflit_revolution
Marennes,Chairs et œufs,1,1789,toflit_revolution
Marennes,"Bière, cidre et vinaigre",4,1789,toflit_revolution
Marennes,"Meubles, glaces et miroirs",3,1789,toflit_revolution
Marennes,Légumes,8,1789,toflit_revolution
Marennes,Combustibles dont charbons et bois,2,1789,toflit_revolution
Marennes,Beurre,5,1789,toflit_revolution
Marennes,Ouvrages divers et mélangés,8,1789,toflit_revolution
Marennes,Matières premières diverses,1,1789,toflit_revolution
Marennes,Pêche et fruits de mer,3,1789,toflit_revolution
Marennes,Êtres humains,1,1789,toflit_revolution
Saint-Martin-de-Ré,Sel,49,1789,toflit_revolution
Saint-Martin-de-Ré,Eaux-de-vie et liqueurs,26,1789,toflit_revolution
Saint-Martin-de-Ré,Produits inconnus,244,1789,toflit_revolution
Saint-Martin-de-Ré,"Ouvrages de bois, liège et jonc",74,1789,toflit_revolution
Saint-Martin-de-Ré,"Bière, cidre et vinaigre",10,1789,toflit_revolution
Saint-Martin-de-Ré,Cargaison inconnue,8,1789,toflit_revolution
Saint-Martin-de-Ré,Combustibles dont charbons et bois,5,1789,toflit_revolution
Saint-Martin-de-Ré,Sortie pour pêche,3,1789,toflit_revolution
Saint-Martin-de-Ré,Fer,2,1789,toflit_revolution
Saint-Martin-de-Ré,Blé et autres grains comestibles,4,1789,toflit_revolution
Saint-Martin-de-Ré,Vins divers,31,1789,toflit_revolution
Saint-Martin-de-Ré,Matières premières diverses,5,1789,toflit_revolution
