port,product,count,year,classification
Ars-en-Ré,Bois merrain,1,1789,portic_standardized_fr
Ars-en-Ré,Cargaison inconnue,12,1789,portic_standardized_fr
Ars-en-Ré,Cendre,1,1789,portic_standardized_fr
Ars-en-Ré,Eau-de-vie,2,1789,portic_standardized_fr
Ars-en-Ré,Lest,1,1789,portic_standardized_fr
Ars-en-Ré,Sel,246,1789,portic_standardized_fr
Ars-en-Ré,Vide,43,1789,portic_standardized_fr
Ars-en-Ré,Vin,1,1789,portic_standardized_fr
Ars-en-Ré,Vinaigre,1,1789,portic_standardized_fr
Ars-en-Ré,Vinatérie,1,1789,portic_standardized_fr
Beauvoir-sur-Mer,Cargaison inconnue,4,1789,portic_standardized_fr
Beauvoir-sur-Mer,Diverses marchandises,1,1789,portic_standardized_fr
Beauvoir-sur-Mer,Froment,28,1789,portic_standardized_fr
Beauvoir-sur-Mer,Fèves,7,1789,portic_standardized_fr
Beauvoir-sur-Mer,Lentilles,2,1789,portic_standardized_fr
Beauvoir-sur-Mer,Lest,3,1789,portic_standardized_fr
Beauvoir-sur-Mer,Poisson sec,1,1789,portic_standardized_fr
Beauvoir-sur-Mer,Sel,78,1789,portic_standardized_fr
Beauvoir-sur-Mer,Vide,1,1789,portic_standardized_fr
Beauvoir-sur-Mer,Vin,1,1789,portic_standardized_fr
Brouage ,Cargaison inconnue,4,1789,portic_standardized_fr
Champagné-les-Marais,Cargaison inconnue,1,1789,portic_standardized_fr
Esnandes,Cargaison inconnue,2,1789,portic_standardized_fr
Ker Châlon,Chaux,6,1789,portic_standardized_fr
Ker Châlon,Lest,1,1789,portic_standardized_fr
Ker Châlon,Vide,3,1789,portic_standardized_fr
La Flotte-en-Ré,Cendre,1,1789,portic_standardized_fr
La Flotte-en-Ré,Diverses marchandises,1,1789,portic_standardized_fr
La Flotte-en-Ré,Futailles vides,1,1789,portic_standardized_fr
La Flotte-en-Ré,Méture,1,1789,portic_standardized_fr
La Flotte-en-Ré,Vin,5,1789,portic_standardized_fr
La Perrotine,Cargaison inconnue,1,1789,portic_standardized_fr
La Perrotine,Diverses marchandises,3,1789,portic_standardized_fr
La Perrotine,Eau-de-vie,30,1789,portic_standardized_fr
La Perrotine,Fèves,1,1789,portic_standardized_fr
La Perrotine,Lest,18,1789,portic_standardized_fr
La Perrotine,Marchandises d'un naufrage,1,1789,portic_standardized_fr
La Perrotine,Moules ,2,1789,portic_standardized_fr
La Perrotine,Savon,1,1789,portic_standardized_fr
La Perrotine,Vide,1,1789,portic_standardized_fr
La Perrotine,Vin,24,1789,portic_standardized_fr
La Rochelle,Beurre,1,1789,portic_standardized_fr
La Rochelle,Bois de construction,3,1789,portic_standardized_fr
La Rochelle,Cargaison inconnue,1003,1789,portic_standardized_fr
La Rochelle,Copeaux et pièces de bois,1,1789,portic_standardized_fr
