port,product,count,year
Ars-en-Ré,Cargaison inconnue,12,1789
Ars-en-Ré,Chargé,251,1789
Ars-en-Ré,Lest,1,1789
Ars-en-Ré,Vide,43,1789
Beauvoir-sur-Mer,Cargaison inconnue,4,1789
Beauvoir-sur-Mer,Chargé,114,1789
Beauvoir-sur-Mer,Lest,3,1789
Beauvoir-sur-Mer,Vide,1,1789
Brouage ,Cargaison inconnue,4,1789
Champagné-les-Marais,Cargaison inconnue,1,1789
Esnandes,Cargaison inconnue,2,1789
Ker Châlon,Chargé,1,1789
Ker Châlon,Lest,1,1789
Ker Châlon,Vide,3,1789
La Flotte-en-Ré,Chargé,8,1789
La Perrotine,Cargaison inconnue,1,1789
La Perrotine,Chargé,57,1789
La Perrotine,Lest,18,1789
La Perrotine,Vide,1,1789
La Rochelle,Cargaison inconnue,1003,1789
La Rochelle,Chargé,10,1789
La Rochelle,Lest,6,1789
La Rochelle,Vide,48,1789
La Tranche-sur-Mer,Chargé,24,1789
La Tremblade,Vide,1,1789
Le Chapus,Vide,1,1789
Le Château-d'Oléron,Cargaison inconnue,39,1789
Le Château-d'Oléron,Chargé,4,1789
Le Château-d'Oléron,Vide,12,1789
Les Sables-d'Olonne,Cargaison inconnue,2,1789
Les Sables-d'Olonne,Chargé,165,1789
Les Sables-d'Olonne,Lest,27,1789
Marans,Cargaison inconnue,1,1789
Marans,Chargé,445,1789
Marans,Lest,142,1789
Marans,Vide,52,1789
Marennes,Cargaison inconnue,19,1789
Marennes,Chargé,1411,1789
Marennes,Lest,36,1789
Marennes,Vide,30,1789
Martrou,Chargé,1,1789
Moricq,Chargé,94,1789
Moricq,Vide,3,1789
Mortagne,Cargaison inconnue,2,1789
Mortagne,Chargé,4,1789
Mortagne,Lest,10,1789
Mortagne,Vide,1,1789
Noirmoutier,Cargaison inconnue,5,1789
Noirmoutier,Chargé,275,1789
Noirmoutier,Lest,9,1789
Noirmoutier,Vide,1,1789
Ribérou,Cargaison inconnue,1,1789
Ribérou,Chargé,269,1789
Ribérou,Lest,165,1789
Ribérou,Vide,2,1789
Rochefort,Cargaison inconnue,5,1789
Rochefort,Chargé,138,1789
Rochefort,Lest,5,1789
Rochefort,Vide,223,1789
Royan,Lest,14,1789
Saint-Denis d'Oléron,Chargé,54,1789
Saint-Denis d'Oléron,Lest,13,1789
Saint-Denis d'Oléron,Vide,1,1789
Saint-Gilles-sur-Vie,Cargaison inconnue,4,1789
Saint-Gilles-sur-Vie,Chargé,74,1789
Saint-Martin-de-Ré,Cargaison inconnue,8,1789
Saint-Martin-de-Ré,Chargé,234,1789
Saint-Martin-de-Ré,Lest,212,1789
Saint-Martin-de-Ré,Vide,24,1789
Saint-Michel-en-l'Herm,Cargaison inconnue,65,1789
Saint-Michel-en-l'Herm,Chargé,1,1789
Saint-Michel-en-l'Herm,Vide,3,1789
Seudre,Cargaison inconnue,25,1789
Seudre,Chargé,2,1789
Seudre,Vide,1,1789
Soubise,Chargé,3,1789
Soubise,Lest,1,1789
Soubise,Vide,3,1789
Tonnay-Charente,Cargaison inconnue,589,1789
Tonnay-Charente,Chargé,13,1789
Tonnay-Charente,Lest,1,1789
Tonnay-Charente,Vide,17,1789
l'Aiguillon,Vide,3,1789
mer des Pertuis,Chargé,1,1789
île d'Oléron,Chargé,3,1789
île d'Oléron,Vide,8,1789
île d'Yeu,Vide,1,1789
île de Bouin,Cargaison inconnue,11,1789
île de Bouin,Chargé,94,1789
île de Ré,Vide,1,1789
