departure_province,departure_fr,destination_fr,tonnage
Aunis,Ars-en-Ré,Amsterdam,
Aunis,Ars-en-Ré,Amsterdam,135
Aunis,Ars-en-Ré,Amsterdam,140
Aunis,Ars-en-Ré,Amsterdam,180
Aunis,Ars-en-Ré,Amsterdam,180
Aunis,Ars-en-Ré,Amsterdam,180
Aunis,Ars-en-Ré,Amsterdam,200
Aunis,Ars-en-Ré,Amsterdam,210
Aunis,Ars-en-Ré,Amsterdam,250
Aunis,Ars-en-Ré,Amsterdam,318
Aunis,Ars-en-Ré,Amsterdam,590
Aunis,Ars-en-Ré,Anstruther,110
Aunis,Ars-en-Ré,Ars-en-Ré,15
Aunis,Ars-en-Ré,Baltimore,210
Aunis,Ars-en-Ré,Bayonne,75
Aunis,Ars-en-Ré,Bergue ,140
Aunis,Ars-en-Ré,Bergue ,180
Aunis,Ars-en-Ré,Bergue ,190
Aunis,Ars-en-Ré,Bergue ,200
Aunis,Ars-en-Ré,Bergue ,72
Aunis,Ars-en-Ré,Bergue ,75
Aunis,Ars-en-Ré,Bergue ,80
Aunis,Ars-en-Ré,Berwick,65
Aunis,Ars-en-Ré,Bordeaux,94
Aunis,Ars-en-Ré,Boston,200
Aunis,Ars-en-Ré,Boston,227
Aunis,Ars-en-Ré,Boston,240
Aunis,Ars-en-Ré,Boston,280
Aunis,Ars-en-Ré,Boston,412
Aunis,Ars-en-Ré,Boulogne-sur-Mer,165
Aunis,Ars-en-Ré,Boulogne-sur-Mer,60
Aunis,Ars-en-Ré,Caen ,30
Aunis,Ars-en-Ré,Caen ,40
Aunis,Ars-en-Ré,Charron,15
Aunis,Ars-en-Ré,Dartmouth,200
Aunis,Ars-en-Ré,Dartmouth,210
Aunis,Ars-en-Ré,Dieppe,100
Aunis,Ars-en-Ré,Dieppe,106
Aunis,Ars-en-Ré,Dieppe,150
Aunis,Ars-en-Ré,Dieppe,150
Aunis,Ars-en-Ré,Dieppe,50
Aunis,Ars-en-Ré,Dieppe,54
Aunis,Ars-en-Ré,Dieppe,60
Aunis,Ars-en-Ré,Dieppe,60
Aunis,Ars-en-Ré,Dieppe,68
Aunis,Ars-en-Ré,Dieppe,68
