year,count,value,kg,litre,nbr,sourceType,productClassification,partnerClassification,partner,product,kind,region,nb_region
1782,42,777148000,0,0,0,Best Guess national partner,,,,,total,$all$,
1787,2540,1075872442,0,0,0,Best Guess national partner,,,,,total,$all$,
1788,1686,1003944792,0,0,0,Best Guess national partner,,,,,total,$all$,
1789,1810,1077672000,0,0,0,Best Guess national partner,,,,,total,$all$,
1792,72,1735308000,0,0,0,Best Guess national partner,,,,,total,$all$,
1797,1981,594779600,0,0,0,Best Guess national partner,,,,,total,$all$,
1798,1976,563152000,0,0,0,Best Guess national partner,,,,,total,$all$,
1799,1971,579614477,0,0,0,Best Guess national partner,,,,,total,$all$,
1800,1507,622507028,0,0,0,Best Guess national partner,,,,,total,$all$,
1801,1957,715268177,0,0,0,Best Guess national partner,,,,,total,$all$,
1802,2816,831275014,0,0,0,Best Guess national partner,,,,,total,$all$,
1803,2726,873124898,0,0,0,Best Guess national partner,,,,,total,$all$,
1804,2577,920894599,0,0,0,Best Guess national partner,,,,,total,$all$,
1805,2442,949213855,0,0,0,Best Guess national partner,,,,,total,$all$,
1806,2405,994719552,0,0,0,Best Guess national partner,,,,,total,$all$,
1807,1941,796397947,0,0,0,Best Guess national partner,,,,,total,$all$,
1808,1582,775498795,0,0,0,Best Guess national partner,,,,,total,$all$,
1809,2064,707003300,0,0,0,Best Guess national partner,,,,,total,$all$,
1810,2713,761047600,0,0,0,Best Guess national partner,,,,,total,$all$,
1811,2954,626333200,0,0,0,Best Guess national partner,,,,,total,$all$,
1812,2591,726199300,0,0,0,Best Guess national partner,,,,,total,$all$,
1813,2195,605301400,0,0,0,Best Guess national partner,,,,,total,$all$,
1814,3331,584985500,0,0,0,Best Guess national partner,,,,,total,$all$,
1815,3790,772981109,0,0,0,Best Guess national partner,,,,,total,$all$,
1816,3731,964132510,0,0,0,Best Guess national partner,,,,,total,$all$,
1817,4143,959446100,0,0,0,Best Guess national partner,,,,,total,$all$,
1818,4285,1149488100,0,0,0,Best Guess national partner,,,,,total,$all$,
1819,4382,933114420,0,0,0,Best Guess national partner,,,,,total,$all$,
1820,4569,1092379370,0,0,0,Best Guess national partner,,,,,total,$all$,
1821,4096,805479906,0,0,0,Best Guess national partner,,,,,total,$all$,
1716,13,49165928,0,0,0,Best Guess national partner,,,,,export,$all$,
1717,14,58965110,0,0,0,Best Guess national partner,,,,,export,$all$,
1718,14,80584386,0,0,0,Best Guess national partner,,,,,export,$all$,
1719,14,94277958,0,0,0,Best Guess national partner,,,,,export,$all$,
1720,14,171233223,0,0,0,Best Guess national partner,,,,,export,$all$,
1721,13,83765167,0,0,0,Best Guess national partner,,,,,export,$all$,
1722,13,109920534,0,0,0,Best Guess national partner,,,,,export,$all$,
1723,12,166385204,0,0,0,Best Guess national partner,,,,,export,$all$,
1724,13,104850976,0,0,0,Best Guess national partner,,,,,export,$all$,
1725,15,113674628,0,0,0,Best Guess national partner,,,,,export,$all$,
1726,15,109890160,0,0,0,Best Guess national partner,,,,,export,$all$,
1727,15,111754584,0,0,0,Best Guess national partner,,,,,export,$all$,
1728,16,125733009,0,0,0,Best Guess national partner,,,,,export,$all$,
1729,16,127019684,0,0,0,Best Guess national partner,,,,,export,$all$,
1730,16,118553767,0,0,0,Best Guess national partner,,,,,export,$all$,
1731,16,128459670,0,0,0,Best Guess national partner,,,,,export,$all$,
1732,16,128742797,0,0,0,Best Guess national partner,,,,,export,$all$,
1733,17,124860564,0,0,0,Best Guess national partner,,,,,export,$all$,
1734,18,117349666,0,0,0,Best Guess national partner,,,,,export,$all$,
1735,18,137935673,0,0,0,Best Guess national partner,,,,,export,$all$,
1736,18,140489567,0,0,0,Best Guess national partner,,,,,export,$all$,
1737,18,129004120,0,0,0,Best Guess national partner,,,,,export,$all$,
1738,18,150008286,0,0,0,Best Guess national partner,,,,,export,$all$,
1739,18,165552853,0,0,0,Best Guess national partner,,,,,export,$all$,
1740,18,208817046,0,0,0,Best Guess national partner,,,,,export,$all$,
1741,18,218253022,0,0,0,Best Guess national partner,,,,,export,$all$,
1742,18,211685144,0,0,0,Best Guess national partner,,,,,export,$all$,
1743,18,222226439,0,0,0,Best Guess national partner,,,,,export,$all$,
1744,19,166992644,0,0,0,Best Guess national partner,,,,,export,$all$,
1745,19,184123776,0,0,0,Best Guess national partner,,,,,export,$all$,
1746,19,176794821,0,0,0,Best Guess national partner,,,,,export,$all$,
1747,18,182581256,0,0,0,Best Guess national partner,,,,,export,$all$,
1748,18,179893195,0,0,0,Best Guess national partner,,,,,export,$all$,
1749,18,253444551,0,0,0,Best Guess national partner,,,,,export,$all$,
1750,18,251200328,0,0,0,Best Guess national partner,,,,,export,$all$,
1751,18,257978434,0,0,0,Best Guess national partner,,,,,export,$all$,
1752,18,295042717,0,0,0,Best Guess national partner,,,,,export,$all$,
1753,18,291953030,0,0,0,Best Guess national partner,,,,,export,$all$,
1754,18,298063065,0,0,0,Best Guess national partner,,,,,export,$all$,
1755,18,263394337,0,0,0,Best Guess national partner,,,,,export,$all$,
1756,18,240806046,0,0,0,Best Guess national partner,,,,,export,$all$,
1757,18,188988100,0,0,0,Best Guess national partner,,,,,export,$all$,
1758,17,166318424,0,0,0,Best Guess national partner,,,,,export,$all$,
1759,20,188746632,0,0,0,Best Guess national partner,,,,,export,$all$,
1760,21,178680655,0,0,0,Best Guess national partner,,,,,export,$all$,
1761,21,178634644,0,0,0,Best Guess national partner,,,,,export,$all$,
1762,21,197682442,0,0,0,Best Guess national partner,,,,,export,$all$,
1763,22,258927696,0,0,0,Best Guess national partner,,,,,export,$all$,
1764,22,326396895,0,0,0,Best Guess national partner,,,,,export,$all$,
1765,22,318656887,0,0,0,Best Guess national partner,,,,,export,$all$,
1766,22,294308117,0,0,0,Best Guess national partner,,,,,export,$all$,
1767,22,287005732,0,0,0,Best Guess national partner,,,,,export,$all$,
1768,22,292794108,0,0,0,Best Guess national partner,,,,,export,$all$,
1769,22,277236636,0,0,0,Best Guess national partner,,,,,export,$all$,
1770,21,298206118,0,0,0,Best Guess national partner,,,,,export,$all$,
1771,21,339829095,0,0,0,Best Guess national partner,,,,,export,$all$,
1772,21,319645666,0,0,0,Best Guess national partner,,,,,export,$all$,
1773,21,333708654,0,0,0,Best Guess national partner,,,,,export,$all$,
1774,21,318928625,0,0,0,Best Guess national partner,,,,,export,$all$,
1775,21,332042914,0,0,0,Best Guess national partner,,,,,export,$all$,
1776,21,330190114,0,0,0,Best Guess national partner,,,,,export,$all$,
1777,21,367371947,0,0,0,Best Guess national partner,,,,,export,$all$,
1778,22,276584233,0,0,0,Best Guess national partner,,,,,export,$all$,
1779,23,236011485,0,0,0,Best Guess national partner,,,,,export,$all$,
1780,23,238890556,0,0,0,Best Guess national partner,,,,,export,$all$,
1781,23,267865771,0,0,0,Best Guess national partner,,,,,export,$all$,
1782,21,346350000,0,0,0,Best Guess national partner,,,,,export,$all$,
1787,1524,445295330,0,0,0,Best Guess national partner,,,,,export,$all$,
1788,996,466385300,0,0,0,Best Guess national partner,,,,,export,$all$,
1789,1081,441148000,0,0,0,Best Guess national partner,,,,,export,$all$,
1792,35,802696000,0,0,0,Best Guess national partner,,,,,export,$all$,
1797,1044,225561000,0,0,0,Best Guess national partner,,,,,export,$all$,
1798,1044,253863000,0,0,0,Best Guess national partner,,,,,export,$all$,
1799,1111,300499877,0,0,0,Best Guess national partner,,,,,export,$all$,
1800,785,271575604,0,0,0,Best Guess national partner,,,,,export,$all$,
1801,1093,305143000,0,0,0,Best Guess national partner,,,,,export,$all$,
1802,1520,338773402,0,0,0,Best Guess national partner,,,,,export,$all$,
1803,1535,373228121,0,0,0,Best Guess national partner,,,,,export,$all$,
1804,1438,410986834,0,0,0,Best Guess national partner,,,,,export,$all$,
1805,1345,400792499,0,0,0,Best Guess national partner,,,,,export,$all$,
1806,1326,463698254,0,0,0,Best Guess national partner,,,,,export,$all$,
1807,1109,383742880,0,0,0,Best Guess national partner,,,,,export,$all$,
1808,893,338235297,0,0,0,Best Guess national partner,,,,,export,$all$,
1809,1136,349137500,0,0,0,Best Guess national partner,,,,,export,$all$,
1810,1428,376099500,0,0,0,Best Guess national partner,,,,,export,$all$,
1811,1510,327869400,0,0,0,Best Guess national partner,,,,,export,$all$,
1812,1496,418523200,0,0,0,Best Guess national partner,,,,,export,$all$,
1813,1305,354239500,0,0,0,Best Guess national partner,,,,,export,$all$,
1814,2005,346031900,0,0,0,Best Guess national partner,,,,,export,$all$,
1815,2308,439303300,0,0,0,Best Guess national partner,,,,,export,$all$,
1816,2343,581278210,0,0,0,Best Guess national partner,,,,,export,$all$,
1817,2513,430660900,0,0,0,Best Guess national partner,,,,,export,$all$,
1818,2660,587659400,0,0,0,Best Guess national partner,,,,,export,$all$,
1819,2838,463406120,0,0,0,Best Guess national partner,,,,,export,$all$,
1820,2931,533165870,0,0,0,Best Guess national partner,,,,,export,$all$,
1821,2883,489183210,0,0,0,Best Guess national partner,,,,,export,$all$,
1716,13,38591502,0,0,0,Best Guess national partner,,,,,import,$all$,
1717,12,55251984,0,0,0,Best Guess national partner,,,,,import,$all$,
1718,12,55733952,0,0,0,Best Guess national partner,,,,,import,$all$,
1719,13,79931436,0,0,0,Best Guess national partner,,,,,import,$all$,
1720,15,91936104,0,0,0,Best Guess national partner,,,,,import,$all$,
1721,12,62696894,0,0,0,Best Guess national partner,,,,,import,$all$,
1722,13,85149832,0,0,0,Best Guess national partner,,,,,import,$all$,
1723,12,111404724,0,0,0,Best Guess national partner,,,,,import,$all$,
1724,12,120815097,0,0,0,Best Guess national partner,,,,,import,$all$,
1725,12,86520911,0,0,0,Best Guess national partner,,,,,import,$all$,
1726,14,81687547.34375,0,0,0,Best Guess national partner,,,,,import,$all$,
1727,15,95592063,0,0,0,Best Guess national partner,,,,,import,$all$,
1728,14,95995788,0,0,0,Best Guess national partner,,,,,import,$all$,
1729,13,94118424,0,0,0,Best Guess national partner,,,,,import,$all$,
1730,13,101764001,0,0,0,Best Guess national partner,,,,,import,$all$,
1731,13,91055154.30371094,0,0,0,Best Guess national partner,,,,,import,$all$,
1732,13,112012202,0,0,0,Best Guess national partner,,,,,import,$all$,
1733,14,101907071,0,0,0,Best Guess national partner,,,,,import,$all$,
1734,15,102223714,0,0,0,Best Guess national partner,,,,,import,$all$,
1735,15,107925685,0,0,0,Best Guess national partner,,,,,import,$all$,
1736,15,123821883,0,0,0,Best Guess national partner,,,,,import,$all$,
1737,15,120226132,0,0,0,Best Guess national partner,,,,,import,$all$,
1738,15,137688105,0,0,0,Best Guess national partner,,,,,import,$all$,
1739,15,170621304,0,0,0,Best Guess national partner,,,,,import,$all$,
1740,15,175579630,0,0,0,Best Guess national partner,,,,,import,$all$,
1741,15,189287497,0,0,0,Best Guess national partner,,,,,import,$all$,
1742,15,175859707,0,0,0,Best Guess national partner,,,,,import,$all$,
1743,15,190217505,0,0,0,Best Guess national partner,,,,,import,$all$,
1744,15,141930181,0,0,0,Best Guess national partner,,,,,import,$all$,
1745,16,143019160,0,0,0,Best Guess national partner,,,,,import,$all$,
1746,16,122149598,0,0,0,Best Guess national partner,,,,,import,$all$,
1747,16,134222995,0,0,0,Best Guess national partner,,,,,import,$all$,
1748,16,136094233,0,0,0,Best Guess national partner,,,,,import,$all$,
1749,16,215007961,0,0,0,Best Guess national partner,,,,,import,$all$,
1750,16,212336043,0,0,0,Best Guess national partner,,,,,import,$all$,
1751,16,211991920,0,0,0,Best Guess national partner,,,,,import,$all$,
1752,16,254371261,0,0,0,Best Guess national partner,,,,,import,$all$,
1753,16,242665786,0,0,0,Best Guess national partner,,,,,import,$all$,
1754,16,247867776,0,0,0,Best Guess national partner,,,,,import,$all$,
1755,16,253292479,0,0,0,Best Guess national partner,,,,,import,$all$,
1756,16,173662764,0,0,0,Best Guess national partner,,,,,import,$all$,
1757,17,147126467.33668804,0,0,0,Best Guess national partner,,,,,import,$all$,
1758,17,125748327,0,0,0,Best Guess national partner,,,,,import,$all$,
1759,19,131250767,0,0,0,Best Guess national partner,,,,,import,$all$,
1760,20,118050835,0,0,0,Best Guess national partner,,,,,import,$all$,
1761,20,133970528.0131836,0,0,0,Best Guess national partner,,,,,import,$all$,
1762,20,140197377.80532122,0,0,0,Best Guess national partner,,,,,import,$all$,
1763,20,184822289,0,0,0,Best Guess national partner,,,,,import,$all$,
1764,19,232923512,0,0,0,Best Guess national partner,,,,,import,$all$,
1765,20,220122239,0,0,0,Best Guess national partner,,,,,import,$all$,
1766,20,212090200,0,0,0,Best Guess national partner,,,,,import,$all$,
1767,20,237939635,0,0,0,Best Guess national partner,,,,,import,$all$,
1768,20,231078361,0,0,0,Best Guess national partner,,,,,import,$all$,
1769,21,290369750,0,0,0,Best Guess national partner,,,,,import,$all$,
1770,21,338735088,0,0,0,Best Guess national partner,,,,,import,$all$,
1771,21,336694842,0,0,0,Best Guess national partner,,,,,import,$all$,
1772,20,300249874,0,0,0,Best Guess national partner,,,,,import,$all$,
1773,20,331014601,0,0,0,Best Guess national partner,,,,,import,$all$,
1774,20,295602665,0,0,0,Best Guess national partner,,,,,import,$all$,
1775,20,293060244,0,0,0,Best Guess national partner,,,,,import,$all$,
1776,20,370927980,0,0,0,Best Guess national partner,,,,,import,$all$,
1777,20,355719346,0,0,0,Best Guess national partner,,,,,import,$all$,
1778,21,353875355,0,0,0,Best Guess national partner,,,,,import,$all$,
1779,22,210748035,0,0,0,Best Guess national partner,,,,,import,$all$,
1780,22,219646992,0,0,0,Best Guess national partner,,,,,import,$all$,
1781,21,269474632,0,0,0,Best Guess national partner,,,,,import,$all$,
1782,21,430798000,0,0,0,Best Guess national partner,,,,,import,$all$,
1787,1016,630577112,0,0,0,Best Guess national partner,,,,,import,$all$,
1788,690,537559492,0,0,0,Best Guess national partner,,,,,import,$all$,
1789,729,636524000,0,0,0,Best Guess national partner,,,,,import,$all$,
1792,37,932612000,0,0,0,Best Guess national partner,,,,,import,$all$,
1797,937,369218600,0,0,0,Best Guess national partner,,,,,import,$all$,
1798,932,309289000,0,0,0,Best Guess national partner,,,,,import,$all$,
1799,860,279114600,0,0,0,Best Guess national partner,,,,,import,$all$,
1800,722,350931424,0,0,0,Best Guess national partner,,,,,import,$all$,
1801,864,410125177,0,0,0,Best Guess national partner,,,,,import,$all$,
1802,1296,492501612,0,0,0,Best Guess national partner,,,,,import,$all$,
1803,1191,499896777,0,0,0,Best Guess national partner,,,,,import,$all$,
1804,1139,509907765,0,0,0,Best Guess national partner,,,,,import,$all$,
1805,1097,548421356,0,0,0,Best Guess national partner,,,,,import,$all$,
1806,1079,531021298,0,0,0,Best Guess national partner,,,,,import,$all$,
1807,832,412655067,0,0,0,Best Guess national partner,,,,,import,$all$,
1808,689,437263498,0,0,0,Best Guess national partner,,,,,import,$all$,
1809,928,357865800,0,0,0,Best Guess national partner,,,,,import,$all$,
1810,1285,384948100,0,0,0,Best Guess national partner,,,,,import,$all$,
1811,1444,298463800,0,0,0,Best Guess national partner,,,,,import,$all$,
1812,1095,307676100,0,0,0,Best Guess national partner,,,,,import,$all$,
1813,890,251061900,0,0,0,Best Guess national partner,,,,,import,$all$,
1814,1326,238953600,0,0,0,Best Guess national partner,,,,,import,$all$,
1815,1482,333677809,0,0,0,Best Guess national partner,,,,,import,$all$,
1816,1388,382854300,0,0,0,Best Guess national partner,,,,,import,$all$,
1817,1630,528785200,0,0,0,Best Guess national partner,,,,,import,$all$,
1818,1625,561828700,0,0,0,Best Guess national partner,,,,,import,$all$,
1819,1544,469708300,0,0,0,Best Guess national partner,,,,,import,$all$,
1820,1638,559213500,0,0,0,Best Guess national partner,,,,,import,$all$,
1821,1213,316296696,0,0,0,Best Guess national partner,,,,,import,$all$,
1718,436,7535999.959336374,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1719,462,11009032.880535126,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1720,486,17032139.767669678,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1721,410,12694425.240963936,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1722,482,16680142.874665976,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1723,496,15765323.805407047,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1724,499,16495748.500537872,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1725,465,11295003.649202824,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1726,570,7540786.417445421,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1727,517,13433936.000761509,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1728,541,14074921.732306719,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1729,558,11862048.465710163,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1730,514,13076219.105104446,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1731,529,11781660.362269402,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1732,559,13991587.104809046,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1733,556,11413020.490279317,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1734,655,14179104.492167473,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1735,633,14855324.063091278,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1736,636,14332890.075367928,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1737,711,12943587.806517601,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1738,761,15440289.621860743,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1739,698,16468340.522336483,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1740,657,19592794.062119484,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1741,622,16755715.985396385,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1744,597,11166413.170374691,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1746,659,21321328.325389862,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1747,591,47706829.14448738,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1748,508,23030805.985238552,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1749,805,23321457.32813859,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1750,868,21139169.511262774,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1751,837,20647303.796989202,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1752,806,19547146.676436424,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1753,726,17274754.955260515,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1754,743,20361898.09920445,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1756,601,14507895.708337307,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1757,787,15827263.205867052,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1758,571,7892832.611276865,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1759,418,5914391.080592155,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1760,338,6173162.772107124,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1761,373,6125383.677073956,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1762,284,4152304.1163756847,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1764,191,8847346.41254139,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1765,448,11571509.988687038,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1766,373,12916548.03305006,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1767,413,12283463.324558258,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1768,337,14133178.021660805,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1769,324,10713790.447792053,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1770,387,10849680.553033829,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1771,362,10840840.43771553,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1772,385,16166496.67412281,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1773,375,27086761.898708344,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1774,406,21859271.819698334,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1775,355,21914111.169548035,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1776,352,25260613.432518005,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1778,296,16436976.747009277,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1779,223,8152645.977798462,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1780,213,7694879.277828217,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1789,1062,28750658.19916916,0,0,0,Best Guess customs region product x partner,,,,,total,La_Rochelle,La Rochelle
1718,158,3147187.8648896217,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1719,210,4056697.3777275085,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1720,218,7899942.130615234,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1721,223,5219388.528229713,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1722,258,9453394.037468672,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1723,247,7982713.754463673,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1724,304,9191111.250400543,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1725,274,5593060.898985386,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1726,293,3150019.3115103245,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1727,294,6460560.3875107765,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
1728,291,6381780.232915163,0,0,0,Best Guess customs region product x partner,,,,,import,La_Rochelle,La Rochelle
