year,count,value,kg,litre,nbr,sourceType,productClassification,partnerClassification,partner,product,kind,region,nb_region
1716,26,87757430,0,0,0,Best Guess national partner,,,,,total,$all$,
1717,26,114217094,0,0,0,Best Guess national partner,,,,,total,$all$,
1718,26,136318338,0,0,0,Best Guess national partner,,,,,total,$all$,
1719,27,174209394,0,0,0,Best Guess national partner,,,,,total,$all$,
1720,29,263169327,0,0,0,Best Guess national partner,,,,,total,$all$,
1721,25,146462061,0,0,0,Best Guess national partner,,,,,total,$all$,
1722,26,195070366,0,0,0,Best Guess national partner,,,,,total,$all$,
1723,24,277789928,0,0,0,Best Guess national partner,,,,,total,$all$,
1724,25,225666073,0,0,0,Best Guess national partner,,,,,total,$all$,
1725,27,200195539,0,0,0,Best Guess national partner,,,,,total,$all$,
1726,29,191577707.34375,0,0,0,Best Guess national partner,,,,,total,$all$,
1727,30,207346647,0,0,0,Best Guess national partner,,,,,total,$all$,
1728,30,221728797,0,0,0,Best Guess national partner,,,,,total,$all$,
1729,29,221138108,0,0,0,Best Guess national partner,,,,,total,$all$,
1730,29,220317768,0,0,0,Best Guess national partner,,,,,total,$all$,
1731,29,219514824.30371094,0,0,0,Best Guess national partner,,,,,total,$all$,
1732,29,240754999,0,0,0,Best Guess national partner,,,,,total,$all$,
1733,31,226767635,0,0,0,Best Guess national partner,,,,,total,$all$,
1734,33,219573380,0,0,0,Best Guess national partner,,,,,total,$all$,
1735,33,245861358,0,0,0,Best Guess national partner,,,,,total,$all$,
1736,33,264311450,0,0,0,Best Guess national partner,,,,,total,$all$,
1737,33,249230252,0,0,0,Best Guess national partner,,,,,total,$all$,
1738,33,287696391,0,0,0,Best Guess national partner,,,,,total,$all$,
1739,33,336174157,0,0,0,Best Guess national partner,,,,,total,$all$,
1740,33,384396676,0,0,0,Best Guess national partner,,,,,total,$all$,
1741,33,407540519,0,0,0,Best Guess national partner,,,,,total,$all$,
1742,33,387544851,0,0,0,Best Guess national partner,,,,,total,$all$,
1743,33,412443944,0,0,0,Best Guess national partner,,,,,total,$all$,
1744,34,308922825,0,0,0,Best Guess national partner,,,,,total,$all$,
1745,35,327142936,0,0,0,Best Guess national partner,,,,,total,$all$,
1746,35,298944419,0,0,0,Best Guess national partner,,,,,total,$all$,
1747,34,316804251,0,0,0,Best Guess national partner,,,,,total,$all$,
1748,34,315987428,0,0,0,Best Guess national partner,,,,,total,$all$,
1749,34,468452512,0,0,0,Best Guess national partner,,,,,total,$all$,
1750,34,463536371,0,0,0,Best Guess national partner,,,,,total,$all$,
1751,34,469970354,0,0,0,Best Guess national partner,,,,,total,$all$,
1752,34,549413978,0,0,0,Best Guess national partner,,,,,total,$all$,
1753,34,534618816,0,0,0,Best Guess national partner,,,,,total,$all$,
1754,34,545930841,0,0,0,Best Guess national partner,,,,,total,$all$,
1755,34,516686816,0,0,0,Best Guess national partner,,,,,total,$all$,
1756,34,414468810,0,0,0,Best Guess national partner,,,,,total,$all$,
1757,35,336114567.33668804,0,0,0,Best Guess national partner,,,,,total,$all$,
1758,34,292066751,0,0,0,Best Guess national partner,,,,,total,$all$,
1759,39,319997399,0,0,0,Best Guess national partner,,,,,total,$all$,
1760,41,296731490,0,0,0,Best Guess national partner,,,,,total,$all$,
1761,41,312605172.0131836,0,0,0,Best Guess national partner,,,,,total,$all$,
1762,41,337879819.8053212,0,0,0,Best Guess national partner,,,,,total,$all$,
1763,42,443749985,0,0,0,Best Guess national partner,,,,,total,$all$,
1764,41,559320407,0,0,0,Best Guess national partner,,,,,total,$all$,
1765,42,538779126,0,0,0,Best Guess national partner,,,,,total,$all$,
1766,42,506398317,0,0,0,Best Guess national partner,,,,,total,$all$,
1767,42,524945367,0,0,0,Best Guess national partner,,,,,total,$all$,
1768,42,523872469,0,0,0,Best Guess national partner,,,,,total,$all$,
1769,43,567606386,0,0,0,Best Guess national partner,,,,,total,$all$,
1770,42,636941206,0,0,0,Best Guess national partner,,,,,total,$all$,
1771,42,676523937,0,0,0,Best Guess national partner,,,,,total,$all$,
1772,41,619895540,0,0,0,Best Guess national partner,,,,,total,$all$,
1773,41,664723255,0,0,0,Best Guess national partner,,,,,total,$all$,
1774,41,614531290,0,0,0,Best Guess national partner,,,,,total,$all$,
1775,41,625103158,0,0,0,Best Guess national partner,,,,,total,$all$,
1776,41,701118094,0,0,0,Best Guess national partner,,,,,total,$all$,
1777,41,723091293,0,0,0,Best Guess national partner,,,,,total,$all$,
1778,43,630459588,0,0,0,Best Guess national partner,,,,,total,$all$,
1779,45,446759520,0,0,0,Best Guess national partner,,,,,total,$all$,
1780,45,458537548,0,0,0,Best Guess national partner,,,,,total,$all$,
1781,44,537340403,0,0,0,Best Guess national partner,,,,,total,$all$,
