year,kind,region,value,total,share
1718,export,La_Rochelle,4388812.094446752,80584386.0,0.0544623135112893
1718,export,Bordeaux,14262815.556732655,80584386.0,0.17699229670537733
1719,export,La_Rochelle,6952335.502807617,94277958.0,0.07374295806033068
1720,export,La_Rochelle,9132197.637054443,171233223.0,0.05333192634617666
1720,export,Bordeaux,15206806.777845979,171233223.0,0.08880757198529154
1721,export,La_Rochelle,7475036.712734222,83765167.0,0.08923800883408042
1721,export,Bordeaux,15399115.397920609,83765167.0,0.18383674204243644
1722,export,La_Rochelle,7226748.837197304,109920534.0,0.06574521223848225
1723,export,La_Rochelle,7782610.050943375,166385204.0,0.046774652215730524
1723,export,Bordeaux,26514466.760887146,166385204.0,0.15935591701343316
1724,export,La_Rochelle,7304637.250137329,104850976.0,0.06966685031274605
1724,export,Bordeaux,21206812.257328033,104850976.0,0.20225669866275764
1725,export,La_Rochelle,5701942.750217438,113674628.0,0.05016020593634525
1725,export,Bordeaux,19300528.328447342,113674628.0,0.16978747736431865
1726,export,La_Rochelle,4390767.105935097,109890160.0,0.039955962444090505
1726,export,Bordeaux,13404630.623413086,109890160.0,0.12198208304922921
1727,export,La_Rochelle,6973375.613250732,111754584.0,0.06239901186738552
1728,export,La_Rochelle,7693141.499391556,125733009.0,0.061186330945054816
1728,export,Nantes,17488378.992535114,125733009.0,0.1390913900146549
1728,export,Bordeaux,12797864.474705696,125733009.0,0.10178603515887936
1729,export,La_Rochelle,6794519.332178116,127019684.0,0.05349186140455298
1729,export,Bordeaux,11980561.674629211,127019684.0,0.09432051235955848
1730,export,La_Rochelle,6969422.709609032,118553767.0,0.05878702031972575
1730,export,Bordeaux,11953634.743965149,118553767.0,0.10082880575161436
1731,export,La_Rochelle,6428419.43934536,128459670.0,0.050042316310989744
1731,export,Nantes,20666645.62072301,128459670.0,0.16088041967352873
1731,export,Bordeaux,3278948.652217865,128459670.0,0.025525121247920574
1732,export,La_Rochelle,7812545.150288582,128742797.0,0.06068335730105803
