port,latitude_dep,longitude_dep,nb_pointcalls,latitude_dest,longitude_dest,province,sous_etat,etat,flag,tonnages
La Rochelle,45.81666,-1.116667,6,46.166667,-1.15,Aunis,,France,français,195
Charente,45.81666,-1.116667,296,45.95,-0.9,Saintonge,,France,français,10828
Dunkerque,45.81666,-1.116667,122,51.05,2.366667,Flandre,,France,français,11916
Dieppe,45.81666,-1.116667,13,49.933333,1.083333,Normandie,,France,français,1361
Bayonne,45.81666,-1.116667,32,43.483333,-1.483333,Guyenne,,France,français,2192
Honfleur,45.81666,-1.116667,193,49.420164,0.231886,Normandie,,France,français,19714
Bordeaux,45.81666,-1.116667,193,44.833333,-0.566667,Guyenne,,France,français,8028
La Marque,45.81666,-1.116667,1,45.1,-0.7,Guyenne,,France,français,30
Gravelines,45.81666,-1.116667,47,50.983333,2.116667,Flandre,,France,français,3711
Caen,45.81666,-1.116667,64,49.183333,-0.35,Normandie,,France,français,4047
Libourne,45.81666,-1.116667,101,44.916667,-0.233333,Guyenne,,France,français,3723
Aligre de Marans,45.81666,-1.116667,68,46.312468,-0.995682,Aunis,,France,français,1665
Blaye,45.81666,-1.116667,2,45.133333,-0.666667,Guyenne,,France,français,59
Etaples,45.81666,-1.116667,11,50.516667,1.65,Picardie,,France,français,819
Rochefort,45.81666,-1.116667,5,45.943666,-0.97043,Aunis,,France,français,190
,45.81666,-1.116667,3,,,,,,français,96
Le Tréport,45.81666,-1.116667,5,50.066667,1.366667,Normandie,,France,français,371
Saint Valéry sur Somme,45.81666,-1.116667,34,50.183333,1.633333,Picardie,,France,français,2376
Saint Valery en Caux,45.81666,-1.116667,9,49.866667,0.733333,Normandie,,France,français,659
Saint Malo,45.81666,-1.116667,4,48.65,-2.016667,Bretagne,,France,français,290
Saint Brieux,45.81666,-1.116667,2,48.516667,-2.783333,Bretagne,,France,français,147
Ostende,45.81666,-1.116667,3,51.216667,2.916667,,Pays-Bas autrichiens,Autriche,français,234
Morlaix,45.81666,-1.116667,2,48.574926,-3.826103,Bretagne,,France,français,70
Le Havre,45.81666,-1.116667,32,49.5,0.133333,Normandie,,France,français,3687
Bourg [sur Gironde],45.81666,-1.116667,1,45.05,-0.566667,Guyenne,,France,français,45
La Teste,45.81666,-1.116667,1,44.633333,-1.15,Guyenne,,France,français,36
Bilbao,45.81666,-1.116667,2,43.256706,-2.924252,,,Espagne,français,247
Brest,45.81666,-1.116667,1,48.4,-4.483333,Bretagne,,France,français,36
Nantes,45.81666,-1.116667,3,47.216667,-1.55,Bretagne,,France,français,227
Soubise,45.81666,-1.116667,1,45.933333,-1.0,Aunis,,France,français,37
Fécamp,45.81666,-1.116667,1,49.75,0.366667,Normandie,,France,français,133
Cherbourg,45.81666,-1.116667,1,49.640322,-1.615534,Normandie,,France,français,54
Castelnaut,45.81666,-1.116667,1,45.033333,-0.8,Guyenne,,France,français,38
Belle Île,45.81666,-1.116667,1,47.316667,-3.183333,Bretagne,,France,français,30
Banc de Terre Neuve,45.81666,-1.116667,1,46.077803,-51.943359,,,zone maritime,français,85
Calais,45.81666,-1.116667,2,50.95,1.833333,Picardie,,France,français,146
Côte de Bretagne,45.81666,-1.116667,1,47.681292,-3.813171,Bretagne,,France,français,10
Vannes,45.81666,-1.116667,1,47.657445,-2.760172,Bretagne,,France,français,19
Granville,45.81666,-1.116667,1,48.838204,-1.597853,Normandie,,France,français,80
Amsterdam,45.81666,-1.116667,4,52.35,4.916667,,Hollande,Provinces-Unies,étranger,738
Zierikzee,45.81666,-1.116667,1,51.65,3.916667,,Zélande,Provinces-Unies,étranger,237
Rotterdam,45.81666,-1.116667,6,51.916667,4.5,,Hollande,Provinces-Unies,étranger,793
Harlingen,45.81666,-1.116667,3,53.183333,5.416667,,Frise,Provinces-Unies,étranger,605
Bilbao,45.81666,-1.116667,3,43.256706,-2.924252,,,Espagne,étranger,109
Virginie,45.81666,-1.116667,1,36.83449804,-76.08717906,,Virginie,Etats-Unis d'Amérique,étranger,237
Riga,45.81666,-1.116667,1,56.95,24.1,,,Russie,étranger,210
Newcastle,45.81666,-1.116667,1,54.988056,-1.619444,,Angleterre,Grande-Bretagne,étranger,404
Londres,45.81666,-1.116667,1,51.516667,-0.1,,Angleterre,Grande-Bretagne,étranger,179
Konigsberg,45.81666,-1.116667,5,54.71,20.5,,,Prusse,étranger,929
Doort,45.81666,-1.116667,5,51.8,4.666667,,Hollande,Provinces-Unies,étranger,914
Bayonne,45.81666,-1.116667,1,43.483333,-1.483333,Guyenne,,France,étranger,51
Baltimore,45.81666,-1.116667,1,39.291345,-76.612873,,Maryland,Etats-Unis d'Amérique,étranger,262
Lubeck,45.81666,-1.116667,1,53.866667,10.7,,,Lubeck,étranger,174
Pilau,45.81666,-1.116667,1,54.652222,19.909167,,,Prusse,étranger,214
Galway,45.81666,-1.116667,1,53.271944,-9.048889,,Irlande,Grande-Bretagne,étranger,50
