"port_depart","outdate_fixed","port_destination","amiraute_destination","province_destination","substate_destination","homeport_state_1789_fr","homeport_toponyme_fr","homeport_province","commodity_standardized_fr","commodity_standardized2_fr","commodity_standardized3_fr","commodity_standardized4_fr","taxe_amount01","taxe_amount02","taxe_amount03","tonnage","tonnage_unit","tonnage_class","ship_flag_standardized_fr"
île de Bouin,1789-07-04,Gravelines,Dunkerque,Flandre,,France,Noirmoutier,Poitou,,,,,108,360,0,"80",tx,[51-100],français
Ars-en-Ré,1789-10-10,Granville,Granville,Normandie,,France,Granville,Normandie,,,,,360,0,0,"80",tx,[51-100],français
Ars-en-Ré,1789-10-23,Étaples ,Boulogne,Picardie,,France,île de Ré,Aunis,,,,,240,0,0,"40",tx,[21-50],français
Tonnay-Charente,1789-01-28,Dunkerque,Dunkerque,Flandre,,France,Nantes,Bretagne,,,,,480,0,0,"150",tx,[101-200],français
Tonnay-Charente,1789-04-22,Dunkerque,Dunkerque,Flandre,,France,Tonnay-Charente,Aunis,,,,,480,0,0,"118",tx,[101-200],français
Tonnay-Charente,1789-04-28,Dunkerque,Dunkerque,Flandre,,France,Tonnay-Charente,Aunis,,,,,480,0,0,"55",tx,[51-100],français
Tonnay-Charente,1789-07-02,Dunkerque,Dunkerque,Flandre,,France,Saint-Savinien,Saintonge,,,,,480,0,0,"90",tx,[51-100],français
Tonnay-Charente,1789-10-26,Dunkerque,Dunkerque,Flandre,,France,Port-d'Envaux,Saintonge,,,,,360,0,0,"118",tx,[101-200],français
La Rochelle,1789-09-29,Dunkerque,Dunkerque,Flandre,,France,Paimpol,Bretagne,,,,,240,0,0,"45",tx,[21-50],français
La Rochelle,1789-04-23,Dieppe,Dieppe,Normandie,,France,Dieppe,Normandie,,,,,360,0,0,"90",tx,[51-100],français
La Rochelle,1789-05-18,Dieppe,Dieppe,Normandie,,France,Dieppe,Normandie,,,,,360,0,0,"65",tx,[51-100],français
La Rochelle,1789-07-24,Dieppe,Dieppe,Normandie,,France,Dieppe,Normandie,,,,,360,0,0,"108",tx,[101-200],français
