"pointcall_out_date2","pointcall_in_date","record_id","ship_id","ship_name","captain_name","port_depart","outdate_fixed","port_destination","pointcall_province","substate_destination","state_destination","destination_admiralty","departure_admiralty","destination_province","departure_province","pointcall_action","homeport_state_1789_fr","homeport_toponyme_fr","homeport_province","ship_flag_standardized_fr","commodity_standardized_fr","commodity_standardized2_fr","commodity_standardized3_fr","commodity_standardized4_fr","tonnage","tonnage_unit","tonnage_class"
"1789=05=20","1789>05>20","00339167","0004436N",Chevalier de la mer,"Karst, Jean Jacob",Ars-en-Ré,1789-05-20,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,,,,hollandais,Sel,,,,"80",tx,[51-100]
"1789=05=28","1789>05>28","00340017","0000671N",Coquille,"Le Vasseur, Charles",Marennes,1789-05-28,Amsterdam,,Hollande,Provinces-Unies,,Marennes,,Saintonge,Out,France,Saint-Valery-sur-Somme,Picardie,français,Vin,,,,"75",tx,[51-100]
"1789=06=20","1789>06>20","00339172",,Dame Helenne Maria,"Platte, Ramse Classes",Marennes,1789-06-20,Amsterdam,,Hollande,Provinces-Unies,,Marennes,,Saintonge,Out,,,,,Sel,,,,"176",tx,[101-200]
"1789=07=08","1789>07>08","00339168",,Union,"Jougebery, Cornelis Jans",Ars-en-Ré,1789-07-08,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,Provinces-Unies,Amsterdam,,hollandais,Sel,,,,"220",tx,[201-500]
"1789=07=13","1789>07>13","00339173",,Prospérité,"Goitse, Tierces",Marennes,1789-07-13,Amsterdam,,Hollande,Provinces-Unies,,Marennes,,Saintonge,Out,Provinces-Unies,Amsterdam,,hollandais,Sel,,,,"172",tx,[101-200]
"1789=07=17","1789>07>17","00342068",,Jeunne Jean Hoster,"Loste, Piéter Jean",La Rochelle,1789-07-17,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,Provinces-Unies,Oude Pekela,,hollandais,,,,,"60",tx,[51-100]
"1789=07=30","1789>07>30","00339169",,Dame Jacoba,"Sanders, Luberts",Ars-en-Ré,1789-07-30,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,Provinces-Unies,Amsterdam,,hollandais,Sel,,,,"300",tx,[201-500]
"1789=08=12","1789>08>12","00336653",,Jeane Saacke,"Brunsma, V. S.",Saint-Martin-de-Ré,1789-08-12,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,Provinces-Unies,Amsterdam,,hollandais,Lest,,,,"150",tx,[101-200]
"1789=09=01","1789>09>01","00342069",,Dame Lethr,"Lutger, Meine",La Rochelle,1789-09-01,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,,,,hollandais,,,,,"110",tx,[101-200]
"1789=09=05","1789>09>05","00339174",,Elias et Elizabeth,"De Jonge, Douves Lieuvel",Marennes,1789-09-05,Amsterdam,,Hollande,Provinces-Unies,,Marennes,,Saintonge,Out,Provinces-Unies,Amsterdam,,hollandais,Sel,,,,"180",tx,[101-200]
"1789=09=23","1789>09>23","00340338",,Heureux François,"Follet, Jacques",Rochefort,1789-09-23,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,France,Rochefort,Aunis,français,Vide,,,,"60",tx,[51-100]
"1789=10=08","1789>10>08","00342070",,Dame Janltje,"Sémil, Jan Guerry",La Rochelle,1789-10-08,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,,pas identifié,,hollandais,,,,,"60",tx,[51-100]
"1789=10=16","1789>10>16","00339170","0021516N",Dame Neltje,"Pieters, Richard",Ars-en-Ré,1789-10-16,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,Provinces-Unies,Amsterdam,,hollandais,Sel,,,,"701",tx,[501 et plus]
"1789=02=16","1789>02>16","00339165",,Depeche,"Putbury, John",Saint-Martin-de-Ré,1789-02-16,Angleterre,,Angleterre,Grande-Bretagne,,La Rochelle,,Aunis,Out,Grande-Bretagne,Topsham,,britannique,Sel,,,,"120",tx,[101-200]
"1789=08=26","1789>08>26","00336652",,Echo,"Griffiths, Isaac",Marennes,1789-08-26,Appledore,,Angleterre,Grande-Bretagne,,Marennes,,Saintonge,Out,Grande-Bretagne,Appledore,,britannique,Lest,,,,"150",tx,[101-200]
"1789=01=29","1789>01>29","00332944",,Union,"Perrier, Pierre Etienne",Marans,1789-01-29,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,Bois,,,,"15",tx,[1-20]
"1789=01=29","1789>01>29","00332943",,Deux Sœurs,"Beaufils, André",Marans,1789-01-29,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,Bois,,,,"15",tx,[1-20]
"1789=02=03","1789>02>03","00336826",,Paix Désirée,"Beau Fils, Etienne",Marennes,1789-02-03,Ars-en-Ré,Aunis,,France,La Rochelle,Marennes,Aunis,Saintonge,Out,France,Ars-en-Ré,Aunis,français,Meubles,,,,"15",tx,[1-20]
"1789=03=13","1789>03>13","00336831",,Ange Gabriel,"Daubernais, Jean Baptiste",Marans,1789-03-13,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Loix,Aunis,français,Farine,,,,"15",tx,[1-20]
"1789=03=20","1789>03>20","00332945",,Jeannette,"Mercier, Etienne",Marans,1789-03-20,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,Bois,,,,"15",tx,[1-20]
"1789=04=03","1789>04>03","00335008",,Aventure,"Chapeau, Jacques",Marans,1789-04-03,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,Grain,,,,"5",tx,[1-20]
"1789=04=03","1789>04>03","00335007",,Deux Sœurs,"Beaufils, André",Marans,1789-04-03,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,Grain,,,,"15",tx,[1-20]
"1789=04=08","1789>04>08","00333013",,Esperance,"Gilbert, Charles",Rochefort,1789-04-08,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Marans,Aunis,français,Bois de construction,,,,"18",tx,[1-20]
"1789=04=10","1789>04>10","00332946",,Elizabet,"Banière, Etienne",Marans,1789-04-10,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,Bois,,,,"15",tx,[1-20]
"1789=04=22","1789>04>22","00332947","0006487N",Marie Lagrange,"Guigner, Louis",Marans,1789-04-22,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Marans,Aunis,français,Bois,,,,"20",tx,[1-20]
"1789=04=23","1789>04>23","00333727",,Aventure,"Chapeau, Jacques",Marans,1789-04-23,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,Feuillard,,,,"5",tx,[1-20]
"1789=04=30","1789>04>30","00332948",,Don de Dieu,"Dupeux, Pierre",Marans,1789-04-30,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,Bois,,,,"15",tx,[1-20]
"1789=05=06","1789>05>06","00332949",,Jeanne Marie,"Verdon, Louis",Marans,1789-05-06,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,Bois,,,,"15",tx,[1-20]
"1789=05=20","1789>05>20","00335009",,Aventure,"Chapeau, Jacques",Marans,1789-05-20,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,Grain,,,,"5",tx,[1-20]
"1789=05=20","1789>05>20","00332950",,Société,"Cailleteau, Jean Louis",Marans,1789-05-20,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,Bois,,,,"15",tx,[1-20]
"1789=07=13","1789>07>13","00332965",,Quatre Sœurs,"Boyé, Jean",Moricq,1789-07-13,Ars-en-Ré,Aunis,,France,La Rochelle,Sables-d’Olonne,Aunis,Poitou,Out,France,île de Ré,Aunis,français,Bois à brûler,,,,"18",tx,[1-20]
"1789=07=13","1789>07>13","00332964",,Jeune Marie,"Verdon, Jean",Moricq,1789-07-13,Ars-en-Ré,Aunis,,France,La Rochelle,Sables-d’Olonne,Aunis,Poitou,Out,France,La Rochelle,Aunis,français,Bois à brûler,,,,"15",tx,[1-20]
"1789=07=13","1789>07>13","00332963","0008447N",Sainte Anne,"Camonin, Joseph",Moricq,1789-07-13,Ars-en-Ré,Aunis,,France,La Rochelle,Sables-d’Olonne,Aunis,Poitou,Out,France,Locmariaquer,Bretagne,français,Bois à brûler,,,,"16",tx,[1-20]
"1789=07=14","1789>07>14","00332967",,Petit Saint Jean,"Dupeux, Jacques",Moricq,1789-07-14,Ars-en-Ré,Aunis,,France,La Rochelle,Sables-d’Olonne,Aunis,Poitou,Out,France,Ars-en-Ré,Aunis,français,Bois à brûler,,,,"15",tx,[1-20]
"1789=07=14","1789>07>14","00332966",,Saint Louis,"Begaud, Mathieu",Moricq,1789-07-14,Ars-en-Ré,Aunis,,France,La Rochelle,Sables-d’Olonne,Aunis,Poitou,Out,France,Loix,Aunis,français,Bois à brûler,,,,"15",tx,[1-20]
"1789=07=27","1789>07>27","00332972",,Petit Saint Jean,"Dupeux, Pierre",Moricq,1789-07-27,Ars-en-Ré,Aunis,,France,La Rochelle,Sables-d’Olonne,Aunis,Poitou,Out,France,Ars-en-Ré,Aunis,français,Poterie,Bois à brûler,Bois à brûler,Bois à brûler,"4",tx,[1-20]
"1789=07=28","1789>07>28","00332969",,Saint Pierre,"Neau, Pierre",Moricq,1789-07-28,Ars-en-Ré,Aunis,,France,La Rochelle,Sables-d’Olonne,Aunis,Poitou,Out,France,Loix,Aunis,français,Bois à brûler,,,,"15",tx,[1-20]
"1789=07=28","1789>07>28","00332968",,Jeune Marie,"Verdon, Louis",Moricq,1789-07-28,Ars-en-Ré,Aunis,,France,La Rochelle,Sables-d’Olonne,Aunis,Poitou,Out,France,Ars-en-Ré,Aunis,français,Bois à brûler,,,,"15",tx,[1-20]
"1789=07=30","1789>07>30","00332970",,Union,"Perrier, Pierre Etienne",Moricq,1789-07-30,Ars-en-Ré,Aunis,,France,La Rochelle,Sables-d’Olonne,Aunis,Poitou,Out,France,Ars-en-Ré,Aunis,français,Bois à brûler,,,,"15",tx,[1-20]
"1789=10=14","1789>10>14","00342055","0012946N",Dromadaire,"Genieux, Pierre Etienne",Tonnay-Charente,1789-10-14,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,,,,,"32",tx,[21-50]
"1789=10=24","1789>10>24","00332784",,Esperence,"Perrier, Estienne",Moricq,1789-10-24,Ars-en-Ré,Aunis,,France,La Rochelle,Sables-d’Olonne,Aunis,Poitou,Out,France,Ars-en-Ré,Aunis,français,Blé,,,,"4",tx,[1-20]
"1789=11=17","1789>11>17","00342056",,Saint Jean,"Dupeux, Pierre",Tonnay-Charente,1789-11-17,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,,,,,"4",tx,[1-20]
"1789=11=20","1789>11>20","00342057","0012946N",Dromadaire,"Genioux, Pierre Etienne",Tonnay-Charente,1789-11-20,Ars-en-Ré,Aunis,,France,La Rochelle,La Rochelle,Aunis,Aunis,Out,France,Ars-en-Ré,Aunis,français,,,,,"40",tx,[21-50]
"1789=12=18","1789>12>18","00332795",,Vallée de Saint Pierre,"Ridoret, Laurent",Moricq,1789-12-18,Ars-en-Ré,Aunis,,France,La Rochelle,Sables-d’Olonne,Aunis,Poitou,Out,France,Ars-en-Ré,Aunis,français,Blé,Bois à brûler,Bois à brûler,Bois à brûler,"15",tx,[1-20]
"1789=05=26","1789>05>26","00340015","0012865N",Sainte Anne,"Rouallec, François",La Flotte-en-Ré,1789-05-26,Arzon,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Arzon,Bretagne,français,Vin,,,,"7",tx,[1-20]
"1789=07=12","1789>07>12","00336649","0007555N",Saint Jean Marie,"Corchant, Josephe",Saint-Martin-de-Ré,1789-07-12,Arzon,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Arzon,Bretagne,français,Lest,,,,"24",tx,[21-50]
"1789=08=24","1789>08>24","00342052","0007555N",Saint Jean Marie,"Corchant, Joseph",La Rochelle,1789-08-24,Arzon,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Arzon,Bretagne,français,,,,,"24",tx,[21-50]
"1789=09=04","1789>09>04","00342053",,Sainte Anne,"Glajan, Julien",La Rochelle,1789-09-04,Arzon,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Arzon,Bretagne,français,,,,,"28",tx,[21-50]
"1789=10=01","1789>10>01","00336650",,Jean Marie,"Corchant, Joseph",Saint-Martin-de-Ré,1789-10-01,Arzon,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Arzon,Bretagne,français,Lest,,,,"7",tx,[1-20]
"1789=10=12","1789>10>12","00336651",,Marie Joseph,"Stephany, Josephe",Saint-Martin-de-Ré,1789-10-12,Arzon,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Arzon,Bretagne,français,Lest,,,,"22",tx,[21-50]
"1789=10=20","1789>10>20","00340014",,Providance,"Jego, Simon",La Flotte-en-Ré,1789-10-20,Arzon,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,In-Out,France,Arzon,Bretagne,français,Futailles vides,Vin,Vin,Vin,"34",tx,[21-50]
"1789=12=14","1789>12>14","00342054",,Sainte Anne,"Boisseneau, Joseph",La Rochelle,1789-12-14,Arzon,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Arzon,Bretagne,français,,,,,"7",tx,[1-20]
"1789=12=30","1789>12>30","00340013","0006316N",Saint Vincent,"Fardelle, Jean",La Flotte-en-Ré,1789-12-30,Arzon,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,In-Out,France,Arzon,Bretagne,français,Vin,Lest,Lest,Lest,"10",tx,[1-20]
"1789=01=16","1789>01>17","00339844",,Sainte Fleur,"Le Grouec, Paul",Ribérou,1789-01-16,Auray,Bretagne,,France,Vannes,Marennes,Bretagne,Saintonge,Out,France,Plouharnel,Bretagne,français,Vin,,,,"40",tx,[21-50]
"1789=01=21","1789>01>21","00340011",,Notre Dame,"Quaradet, Jacques",Saint-Martin-de-Ré,1789-01-21,Auray,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Quiberon,Bretagne,français,Vin,,,,"24",tx,[21-50]
"1789=03=10","1789>03>10","00339457",,Sainte Anne,"Bagousse, Gilles",Rochefort,1789-03-10,Auray,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Carnac,Bretagne,français,Son,,,,"12",tx,[1-20]
"1789=03=16","1789>03>17","00339845",,Sainte Fleur,"Le Gronec, Paul",Ribérou,1789-03-16,Auray,Bretagne,,France,Vannes,Marennes,Bretagne,Saintonge,Out,France,Plouharnel,Bretagne,français,Vin,,,,"30",tx,[21-50]
"1789=03=26","1789>03>26","00339847",,Sainte Anne,"Dorée, François",La Flotte-en-Ré,1789-03-26,Auray,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,In-Out,France,Quiberon,Bretagne,français,Futailles vides,Vin,Vin,Vin,"7",tx,[1-20]
"1789=04=03","1789>04>03","00342051",,Saint Vincent,"Cloirec, Jean",La Rochelle,1789-04-03,Auray,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Quiberon,Bretagne,français,,,,,"27",tx,[21-50]
"1789=04=12","1789>04>12","00340012",,Renommée,"Doré, Bazil",Saint-Martin-de-Ré,1789-04-12,Auray,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Quiberon,Bretagne,français,Vin,,,,"27",tx,[21-50]
"1789=04=29","1789>04>29","00337223",,Sainte Anne,"Bargousse, Gilles",La Flotte-en-Ré,1789-04-29,Auray,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,In-Out,France,Carnac,Bretagne,français,Vide,Cendre,Cendre,Cendre,"12",tx,[1-20]
"1789=06=27","1789>06>27","00339458",,Saint Jacques,"Simon, François",Rochefort,1789-06-27,Auray,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Quiberon,Bretagne,français,Son,,,,"33",tx,[21-50]
"1789=07=02","1789>07>02","00332689",,Saint Sebastien,"Conan, Pierre Marie",La Flotte-en-Ré,1789-07-02,Auray,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,In-Out,France,Quiberon,Bretagne,français,Vide,Beurre,Beurre,Beurre,"25",tx,[21-50]
"1789=02=04","1789>02>04","00333726",,Aimable,"Favreau, Jacques",Marans,1789-02-04,Avallon,Saintonge,,France,Marennes,La Rochelle,Saintonge,Aunis,Out,France,Avallon,Saintonge,français,Feuillard,,,,"12",tx,[1-20]
"1789=07=08","1789>07>08","00336645",,Marie Françoise,"Hemon, Joseph",Marans,1789-07-08,Baden,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Baden,Bretagne,français,Lest,,,,"4",tx,[1-20]
"1789=07=11","1789>07>11","00336647",,Sainte Anne,"Bertier, Vincent",Marans,1789-07-11,Baden,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Baden,Bretagne,français,Lest,,,,"4",tx,[1-20]
"1789=07=11","1789>07>11","00336646",,Sainte Anne,"Fravalo, Jean",Marans,1789-07-11,Baden,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Baden,Bretagne,français,Lest,,,,"4",tx,[1-20]
"1789=07=20","1789>07>20","00336648",,Sainte Anne,"Le Goguet, François",Marans,1789-07-20,Baden,Bretagne,,France,Vannes,La Rochelle,Bretagne,Aunis,Out,France,Baden,Bretagne,français,Lest,,,,"7",tx,[1-20]
"1789=09=07","1789>09>07","00339162",,Jeune Germanus,"Hanses, Pieter",Marennes,1789-09-07,Baltimore,,Maryland,Etats-Unis d'Amérique,,Marennes,,Saintonge,Out,Provinces-Unies,Amsterdam,,hollandais,Sel,,,,"262",tx,[201-500]
"1789=09=09","1789>09>09","00339163",,Ester,"Jourdana, Michelles",Saint-Martin-de-Ré,1789-09-09,Baltimore,,Maryland,Etats-Unis d'Amérique,,La Rochelle,,Aunis,Out,Grande-Bretagne,Liverpool,,britannique,Sel,,,,"243",tx,[201-500]
"1789=12=09","1789>12>09","00340323",,Deux frères,"Bakker, Jacob",Rochefort,1789-12-09,Barcelone,,,Espagne,,La Rochelle,,Aunis,Out,Provinces-Unies,Amsterdam,,hollandais,Vide,,,,"630",tx,[501 et plus]
"1789=12=18","1789>12>18","00339144",,Louis Henry,"Le Moine, François",Ars-en-Ré,1789-12-18,Barfleur,Normandie,,France,Barfleur,La Rochelle,Normandie,Aunis,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"30",tx,[21-50]
"1789=02=27","1789>02>27","00339143",,Valentine,"Brooks, Williams",Ars-en-Ré,1789-02-27,Barnstable,,Massachussets,Etats-Unis d'Amérique,,La Rochelle,,Aunis,Out,Etats-Unis d'Amérique,Barnstable,,étasunien,Sel,,,,"76",tx,[51-100]
"1789=01=16","1789>01>16","00339101",,Gracieuse,"Le Sévillan, Guillaume",Les Sables-d'Olonne,1789-01-16,Bayonne,Guyenne,,France,Bayonne,Sables-d’Olonne,Guyenne,Poitou,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"42",tx,[21-50]
"1789=01=28","1789>01>28","00339125","0006655N",Trois Marie,"Daniel, François",Saint-Gilles-sur-Vie,1789-01-28,Bayonne,Guyenne,,France,Bayonne,Sables-d’Olonne,Guyenne,Poitou,Out,France,Saint-Gilles-sur-Vie,Poitou,français,Sel,,,,"50",tx,[21-50]
"1789=02=12","1789>02>12","00339102",,Elizabeth,"Ravier, Joseph Prospér",Les Sables-d'Olonne,1789-02-12,Bayonne,Guyenne,,France,Bayonne,Sables-d’Olonne,Guyenne,Poitou,Out,France,Saint-Valery-sur-Somme,Picardie,français,Sel,,,,"60",tx,[51-100]
"1789=02=25","1789>02>25","00339126",,Vigilant,"Boutaud, Charles",Saint-Gilles-sur-Vie,1789-02-25,Bayonne,Guyenne,,France,Bayonne,Sables-d’Olonne,Guyenne,Poitou,Out,France,Saint-Gilles-sur-Vie,Poitou,français,Sel,,,,"40",tx,[21-50]
"1789=02=27","1789>02>27","00339127",,Voltigeur,"Daniel, Jean",Saint-Gilles-sur-Vie,1789-02-27,Bayonne,Guyenne,,France,Bayonne,Sables-d’Olonne,Guyenne,Poitou,Out,France,Saint-Gilles-sur-Vie,Poitou,français,Sel,,,,"52",tx,[51-100]
"1789=02=28","1789>02>28","00339128",,Sardinne Fraiche,"Malescot, Jean Samuel",Saint-Gilles-sur-Vie,1789-02-28,Bayonne,Guyenne,,France,Bayonne,Sables-d’Olonne,Guyenne,Poitou,Out,France,Saint-Gilles-sur-Vie,Poitou,français,Sel,,,,"60",tx,[51-100]
"1789=03=12","1789>03>12","00339103",,Union,"Fontaine, Philippe",Les Sables-d'Olonne,1789-03-12,Bayonne,Guyenne,,France,Bayonne,Sables-d’Olonne,Guyenne,Poitou,Out,France,île d'Yeu,Poitou,français,Sel,,,,"50",tx,[21-50]
"1789=03=19","1789>03>19","00339104",,Amitié,"Mourailleau, François",Les Sables-d'Olonne,1789-03-19,Bayonne,Guyenne,,France,Bayonne,Sables-d’Olonne,Guyenne,Poitou,Out,France,Les Sables-d'Olonne,Poitou,français,Sel,,,,"60",tx,[51-100]
"1789=04=24","1789>04>24","00339066",,Saint Louis,"Luco, Joachim",Marennes,1789-04-24,Bayonne,Guyenne,,France,Bayonne,Marennes,Guyenne,Saintonge,Out,France,Île-aux-Moines,Bretagne,français,Sel,,,,"48",tx,[21-50]
"1789=04=28","1789>04>28","00339067",,Grand Saint Gerad,"Haute, Jean Louis",Marennes,1789-04-28,Bayonne,Guyenne,,France,Bayonne,Marennes,Guyenne,Saintonge,Out,France,Belle-Île-en-Mer,Bretagne,français,Sel,,,,"58",tx,[51-100]
"1789=04=29","1789>04>29","00339068",,Saint Pierre,"Le Bail, Jullien",Marennes,1789-04-29,Bayonne,Guyenne,,France,Bayonne,Marennes,Guyenne,Saintonge,Out,France,Plouharnel,Bretagne,français,Sel,,,,"50",tx,[21-50]
"1789=04=29","1789>04>29","00339105",,Auguste Céléste,"Courson, Denis",Les Sables-d'Olonne,1789-04-29,Bayonne,Guyenne,,France,Bayonne,Sables-d’Olonne,Guyenne,Poitou,Out,France,Saint-Brieuc,Bretagne,français,Sel,,,,"50",tx,[21-50]
"1789=04=30","1789>04>30","00339106",,Jeune Aimé,"Rouillé, Aléxandre",Les Sables-d'Olonne,1789-04-30,Bayonne,Guyenne,,France,Bayonne,Sables-d’Olonne,Guyenne,Poitou,Out,France,Les Sables-d'Olonne,Poitou,français,Sel,,,,"60",tx,[51-100]
