"pointcall_out_date2","pointcall_in_date","record_id","ship_id","ship_name","captain_name","port_depart","outdate_fixed","port_destination","pointcall_province","substate_destination","state_destination","destination_admiralty","departure_admiralty","destination_province","departure_province","pointcall_action","homeport_state_1789_fr","homeport_toponyme_fr","homeport_province","ship_flag_standardized_fr","commodity_standardized_fr","commodity_standardized2_fr","commodity_standardized3_fr","commodity_standardized4_fr","tonnage","tonnage_unit","tonnage_class"
"1789=03=02","1789>03>02","00342126",,Postillon,"Gamain, Jean Baptiste",La Rochelle,1789-03-02,Abbeville,Picardie,,France,Abbeville,La Rochelle,Picardie,Aunis,Out,France,Abbeville,Picardie,français,,,,,"62",tx,[51-100]
"1789=04=06","1789>04>06","00342127",,Prince de Chalons,"Loquet, Jacques",La Rochelle,1789-04-06,Abbeville,Picardie,,France,Abbeville,La Rochelle,Picardie,Aunis,Out,France,Abbeville,Picardie,français,,,,,"90",tx,[51-100]
"1789=06=08","1789>06>08","00342128",,Postillon,"Gamain, Jean Baptiste",La Rochelle,1789-06-08,Abbeville,Picardie,,France,Abbeville,La Rochelle,Picardie,Aunis,Out,France,Abbeville,Picardie,français,,,,,"62",tx,[51-100]
"1789=09=11","1789>09>11","00342129",,Prince de Calais,"Loquet, Jacques",La Rochelle,1789-09-11,Abbeville,Picardie,,France,Abbeville,La Rochelle,Picardie,Aunis,Out,France,Abbeville,Picardie,français,,,,,"90",tx,[51-100]
"1789=10=14","1789>10>14","00342130",,Postillon,"Gamain, Jean Baptiste",La Rochelle,1789-10-14,Abbeville,Picardie,,France,Abbeville,La Rochelle,Picardie,Aunis,Out,France,Abbeville,Picardie,français,,,,,"62",tx,[51-100]
"1789=01=24","1789>01>24","00336655",,Soleil Levant,"Knap, Hans",La Flotte-en-Ré,1789-01-24,Alicante,,,Espagne,,La Rochelle,,Aunis,In-Out,Danemark,Frederikshald / Halden,,danois,Lest,Planches,Planches,Planches,"200",tx,[101-200]
"1789=01=27","1789>01>27","00340016",,Prospérité,"Gochel, Turus",Marennes,1789-01-27,Amsterdam,,Hollande,Provinces-Unies,,Marennes,,Saintonge,Out,Provinces-Unies,Amsterdam,,hollandais,Vin,,,,"150",tx,[101-200]
"1789=02=09","1789>02>09","00339166",,Villem,"Slain de Younge, Claas",Ars-en-Ré,1789-02-09,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,,,,hollandais,Sel,,,,"300",tx,[201-500]
"1789=02=14","1789>02>14","00340081",,Prosperité,"Guelses, Tierses",Saint-Martin-de-Ré,1789-02-14,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,Provinces-Unies,Amsterdam,,hollandais,Vinatérie,,,,"150",tx,[101-200]
"1789=02=28","1789>02>28","00340082",,Jeune Muler,"Klaasen, Alteman",Saint-Martin-de-Ré,1789-02-28,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,Provinces-Unies,Amsterdam,,hollandais,Vinatérie,,,,"100",tx,[51-100]
"1789=04=02","1789>04>02","00339171",,Poisson Dor,"Wisser, Aime Andrys",Marennes,1789-04-02,Amsterdam,,Hollande,Provinces-Unies,,Marennes,,Saintonge,Out,Provinces-Unies,Amsterdam,,hollandais,Sel,,,,"210",tx,[201-500]
"1789=04=10","1789>04>10","00339558",,Brun,"Michaud, Jean Pierre",Saint-Martin-de-Ré,1789-04-10,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,France,Honfleur,Normandie,français,Café,Sucre,Sucre,Sucre,"152",tx,[101-200]
"1789=04=26","1789>04>26","00340083",,Jeune Feikes,"Feykesklok, Jean",Saint-Martin-de-Ré,1789-04-26,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,Provinces-Unies,Frise,,hollandais,Vinatérie,,,,"60",tx,[51-100]
"1789=05=11","1789>05>11","00342067",,Bonne Harmonie,"Potter, Gerrardus",La Rochelle,1789-05-11,Amsterdam,,Hollande,Provinces-Unies,,La Rochelle,,Aunis,Out,Provinces-Unies,Amsterdam,,hollandais,,,,,"220",tx,[201-500]
