pointcall,latitude,longitude,bureau,is_bureau,pointcall_count
Ile de Ré,46.2,-1.416667,pas de bureau rattaché,False,200
Esnandes,46.25,-1.083333,La Rochelle,False,39
Le Plomb,46.2,-1.2,pas de bureau rattaché,False,12
Oléron,45.933333,-1.3,pas de bureau rattaché,False,405
Marennes,45.816667,-1.116667,Marennes,True,1709
La Rochelle,46.166667,-1.15,La Rochelle,True,1950
Rochefort,45.943666,-0.97043,Rochefort,True,572
La Tremblade,45.766667,-1.133333,Marennes,False,29
Aligre de Marans,46.312468,-0.995682,Alligre,True,955
Charente,45.95,-0.9,Charente,True,1321
Saint Martin de Ré,46.2,-1.366667,Saint-Martin île de Ré,True,568
Coureaux [de Ré],46.25,-1.366667,pas de bureau rattaché,False,2
Ribérou [Saujon],45.6755,-0.935826,Marennes,False,470
Ars en Ré,46.216667,-1.516667,Saint-Martin île de Ré,False,337
Saint Denis [d' Oléron],46.033333,-1.383333,Marennes,False,73
Royan,45.633333,-1.033333,Marennes,False,32
La Flotte en Ré,46.188459,-1.328716,Saint-Martin île de Ré,False,227
Le Chateau [d' Oléron],45.9,-1.2,Marennes,False,62
La Perrotine,45.964614,-1.243436,Marennes,False,100
Mortagne,45.483333,-0.783333,Marennes,False,17
Soubise,45.933333,-1,Marennes,False,43
Brouage,45.866667,-1.066667,pas de bureau rattaché,False,19
Seudre,45.8,-1.15,pas de bureau rattaché,False,52
Chaput,45.850601,-1.15325,pas de bureau rattaché,False,14
Chaillevette,45.733333,-1.05,pas de bureau rattaché,False,2
Saint Savinien,45.883333,-0.683333,pas de bureau rattaché,False,33
Anveaux,45.833333,-0.683333,pas de bureau rattaché,False,17
Saintes,45.75,-0.633333,pas de bureau rattaché,False,6
Avallon,45.74369849847762, -1.1089594426355542,pas de bureau rattaché,False,1
Fouras,45.989007,-1.095572,pas de bureau rattaché,False,3
Taillebourg,45.833333,-0.65,pas de bureau rattaché,False,4
dans le Pertuis,46.044980, -1.204802,pas de bureau rattaché,False,8
Dercie,45.707894,-0.937643,pas de bureau rattaché,False,7
Loix,46.233333,-1.416667,pas de bureau rattaché,False,7
Saint André de Cuzac,45.983333,-0.45,pas de bureau rattaché,False,3
Bourcefranc,45.850003,-1.142263,pas de bureau rattaché,False,3
Couarde île de Ré,46.2,-1.4,pas de bureau rattaché,False,3
Rivedoux,46.166667,-1.266667,pas de bureau rattaché,False,1
Ile d' Aix,46.0125,-1.175,pas de bureau rattaché,False,1
Martrou,45.91367,-0.959895,pas de bureau rattaché,False,1
Mornac,45.716667,-1.033333,pas de bureau rattaché,False,1
Charron,46.283333,-1.1,pas de bureau rattaché,False,1
