port_navigo,toflit_partner
Saint Valery en Caux,France
,pas de partenaire commercial rattaché
Ile de Ré,France
Baltique,pas de partenaire commercial rattaché
Nantes,France
Honfleur,France
Gravelines,France
Charente,France
Nantes,France
Nantes,France
Bordeaux,France
Ile de Ré,France
Brest,France
Memel,Nord
Ile de Ré,France
Gravelines,France
,pas de partenaire commercial rattaché
Le Croisic,France
Le Croisic,France
Le Croisic,France
Le Croisic,France
Le Croisic,France
Le Croisic,France
Le Croisic,France
Chalon,France
Oléron,France
Carnac,France
Ile de Ré,France
Bordeaux,France
La Rochelle,France
Hennebont,France
,pas de partenaire commercial rattaché
La Rochelle,France
,pas de partenaire commercial rattaché
Nantes,France
,pas de partenaire commercial rattaché
,pas de partenaire commercial rattaché
,pas de partenaire commercial rattaché
Bordeaux,France
La Rochelle,France
,pas de partenaire commercial rattaché
Chalon,France
Chalon,France
Rochefort,France
Oléron,France
Oléron,France
Oléron,France
Nantes,France
Saint Malo,France
Ile de Ré,France
Marennes,France
Côte de Bretagne,France
Côte de Bretagne,France
Rochefort,France
Rochefort,France
Côte de Bretagne,France
Côte de Bretagne,France
Ile de Ré,France
Charente,France
La Rochelle,France
Rochefort,France
La Rochelle,France
Rochefort,France
Le Plomb,France
Rochefort,France
Ile de Ré,France
Rochefort,France
Redon,France
Redon,France
Rochefort,France
Nantes,France
Sables d' Olonne,France
Ribérou [Saujon],France
Konigsberg,Nord
Ile de Ré,France
Caen,France
Caen,France
Port Louis,France
Honfleur,France
Ile d' Ars,France
Ile de Ré,France
Côte de Bretagne,France
Côte de Bretagne,France
Marennes,France
Bordeaux,France
Bordeaux,France
Bordeaux,France
Bordeaux,France
Bordeaux,France
Sables d' Olonne,France
Blaye,France
Rochefort,France
Bayonne,France
Amsterdam,Hollande
Rouen,France
Nantes,France
Rouen,France
Bordeaux,France
Rochefort,France
Lubeck,Nord
La Rochelle,France
Saint Savinien,France
Oléron,France
Chalon,France
Rochefort,France
Fouras,France
Oléron,France
Rochefort,France
Oléron,France
Chalon,France
Bordeaux,France
Le Plomb,France
Locmariaquer,France
La Rochelle,France
La Rochelle,France
Chalon,France
Copenhague,Nord
La Rochelle,France
,pas de partenaire commercial rattaché
Abbeville,France
Le Croisic,France
Chalon,France
Stettin,Nord
Rochefort,France
Saint Martin de Ré,France
Dunkerque,France
La Rochelle,France
Ile de Ré,France
Le Croisic,France
Le Croisic,France
Le Croisic,France
,pas de partenaire commercial rattaché
Méan,France
Oléron,France
Nantes,France
Caen,France
Ile de Ré,France
Brouage,France
Côte de Bretagne,France
Bordeaux,France
Oléron,France
Ile d' Aix,France
Anveaux,France
Le Croisic,France
,pas de partenaire commercial rattaché
Le Croisic,France
Le Croisic,France
Le Croisic,France
Ile de Ré,France
Saint Michel en l' Herm,France
Loix,France
dans le Pertuis,France
Sables d' Olonne,France
Rochefort,France
Rochefort,France
Rochefort,France
Rochefort,France
La Rochelle,France
La Rochelle,France
Beauvoir-sur-Mer,France
Quimper,France
Moricq,France
Ile de Ré,France
Saint Martin de Ré,France
La Rochelle,France
La Rochelle,France
La Tremblade,France
Rochefort,France
La Rochelle,France
Penzance,Angleterre
Nantes,France
Ile de Ré,France
Moricq,France
Nantes,France
Moricq,France
Moricq,France
Moricq,France
Moricq,France
Nantes,France
Nantes,France
Libourne,France
Le Vivier,France
Konigsberg,Nord
Rochefort,France
Gravelines,France
Caen,France
Côte de Bretagne,France
Sables d' Olonne,France
Bayonne,France
Amsterdam,Hollande
Nantes,France
Bordeaux,France
Rochefort,France
Oléron,France
Côte de Bretagne,France
Chalon,France
Rochefort,France
Ile d' Yeu,France
Rochefort,France
Rochefort,France
Rochefort,France
Saint Martin de Ré,France
La Rochelle,France
La Rochelle,France
La Rochelle,France
Côte de Bretagne,France
Côte de Bretagne,France
Chalon,France
Bordeaux,France
Bordeaux,France
Aligre de Marans,France
Côte de Bretagne,France
Konigsberg,Nord
Ile de Ré,France
,pas de partenaire commercial rattaché
Ile de Ré,France
Ile de Ré,France
Ile de Ré,France
Oléron,France
Nantes,France
Bordeaux,France
Bordeaux,France
Bordeaux,France
Ile de Ré,France
Nantes,France
Dunkerque,France
Baltique,pas de partenaire commercial rattaché
Oléron,France
Chalon,France
Côte de Bretagne,France
Newbury [USA],États-Unis d'Amérique
,pas de partenaire commercial rattaché
Baltique,pas de partenaire commercial rattaché
Londres,Angleterre
Nantes,France
La Rochelle,France
Sables d' Olonne,France
Sables d' Olonne,France
,pas de partenaire commercial rattaché
Bordeaux,France
,pas de partenaire commercial rattaché
Sables d' Olonne,France
,pas de partenaire commercial rattaché
La Rochelle,France
Ile de Ré,France
Ile de Ré,France
Royan,France
Oléron,France
Vannes,France
Marennes,France
Sables d' Olonne,France
,pas de partenaire commercial rattaché
Saint Martin de Ré,France
Baltique,pas de partenaire commercial rattaché
Aligre de Marans,France
La Rochelle,France
Vannes,France
Charente,France
Nantes,France
Konigsberg,Nord
Gravelines,France
Caen,France
Rochefort,France
Baltique,pas de partenaire commercial rattaché
Nantes,France
Saint Valéry sur Somme,France
Nantes,France
Oléron,France
Chalon,France
Le Croisic,France
Saint Brieux,France
La Rochelle,France
Le Croisic,France
Côte de Bretagne,France
Le Croisic,France
Rochefort,France
Le Croisic,France
Rochefort,France
Saint Savinien,France
La Rochelle,France
Chalon,France
Esnandes,France
Ile de Ré,France
Ile de Ré,France
Ile de Ré,France
Chalon,France
Chalon,France
Chalon,France
Saint Michel en l' Herm,France
Saint Michel en l' Herm,France
Quimper,France
Chalon,France
